Date/Time,3657_O_BCVW,6122_O_BREN,4900_O_MRSD,7449_O_BCVW,2401_O_OHRA,1154_O_BVTP,2684_O_SHAD,2042_O_ROSS,3369_O_SHLR,8857_O_BRHL,7722_O_MRVL,2651_O_PHLL,3022_O_GRFD,8423_O_FKPK,3018_O_CRAN
2025-02-02 00:00:00,914.9285714285714,796.5,886.1428571428571,1053.357142857143,671.6428571428571,,769.1428571428571,971.875,673.5,750.9285714285714,749.7857142857143,,838.1428571428571,,
2025-02-02 00:15:00,1017.5333333333333,810.4,941.2,1093.0,658.8,,888.1333333333333,942.5333333333333,723.2666666666667,731.8,810.6666666666666,,849.4666666666667,,
2025-02-02 00:30:00,1017.7333333333333,744.8,961.7333333333333,890.4,703.6666666666666,,734.2666666666667,1124.2666666666667,722.6666666666666,713.0666666666667,1009.1333333333333,,860.2,,
2025-02-02 00:45:00,880.9333333333333,795.4,964.3333333333334,975.6666666666666,662.0,,761.0,2043.5333333333333,734.4,715.2666666666667,978.4,,851.3333333333334,,
2025-02-02 01:00:00,808.8666666666667,866.8666666666667,952.1333333333333,1026.6666666666667,758.5333333333333,,759.4666666666667,1188.7333333333333,759.2666666666667,746.6666666666666,989.7333333333333,,836.7333333333333,,
2025-02-02 01:15:00,808.6,874.2,948.2666666666667,924.0,836.8,,774.4666666666667,1712.2,751.8,769.6,953.1333333333333,,853.4,,
2025-02-02 01:30:00,811.8,892.4666666666667,925.4,892.0666666666667,761.1333333333333,,771.2,1597.4666666666667,750.8,792.0666666666667,1093.2666666666667,,880.6,,
2025-02-02 01:45:00,789.8,886.2666666666667,947.2,867.1333333333333,781.2,,814.2666666666667,1049.8,757.2666666666667,785.5333333333333,1054.9333333333334,,886.8,,
2025-02-02 02:00:00,799.8666666666667,860.1333333333333,985.2,881.0666666666667,772.2666666666667,,916.8666666666667,1203.7333333333333,763.3333333333334,807.6,1067.4666666666667,,891.2666666666667,,
2025-02-02 02:15:00,796.4666666666667,901.7333333333333,1005.7333333333333,907.0,787.7333333333333,,881.6,1274.8,773.1333333333333,834.8,1158.6666666666667,,886.0666666666667,,
2025-02-02 02:30:00,809.5333333333333,1019.3333333333334,1031.1333333333334,989.6666666666666,835.3333333333334,,1009.2,1302.4,787.4666666666667,865.2666666666667,1202.6,,911.2666666666667,,
2025-02-02 02:45:00,853.4,1093.6666666666667,1029.2666666666667,968.2,882.7333333333333,,911.0,1167.3333333333333,808.8666666666667,890.4666666666667,1220.3333333333333,,961.2666666666667,,
2025-02-02 03:00:00,922.0666666666667,1091.4666666666667,1035.0666666666666,947.5333333333333,965.2,,861.0666666666667,1374.5333333333333,838.1333333333333,907.4,1201.2,,960.8,,
2025-02-02 03:15:00,939.4,1144.6,1071.0,964.0,905.2666666666667,,830.5333333333333,1161.9333333333334,859.7333333333333,913.0666666666667,1189.3333333333333,,979.2666666666667,,
2025-02-02 03:30:00,933.2666666666667,1130.0,1092.6,984.4,899.1333333333333,,832.7333333333333,1093.8666666666666,875.9333333333333,912.7333333333333,1153.0,,983.8666666666667,,
2025-02-02 03:45:00,937.2666666666667,1144.1333333333334,1110.8,1034.1333333333334,921.4,,855.3333333333334,1020.2666666666667,890.8,905.2666666666667,1180.2,,999.0,,
2025-02-02 04:00:00,948.8666666666667,1167.2,1125.8666666666666,1068.4666666666667,929.9333333333333,,842.9333333333333,1142.0666666666666,894.1333333333333,900.0666666666667,1214.3333333333333,,994.5333333333333,,
2025-02-02 04:15:00,970.0,1123.8666666666666,1125.4666666666667,1114.9333333333334,915.3333333333334,,830.1333333333333,1231.8,905.1333333333333,887.0,1111.6,,988.7333333333333,,
2025-02-02 04:30:00,973.5333333333333,964.3333333333334,1133.4,1154.4666666666667,897.7333333333333,,829.4,1146.8,887.4,868.9333333333333,984.1333333333333,,984.5333333333333,,
2025-02-02 04:45:00,994.6,916.4666666666667,1130.3333333333333,1187.2,869.6666666666666,,820.0666666666667,1017.0,873.4666666666667,857.3333333333334,895.0,,975.9333333333333,,
2025-02-02 05:00:00,1047.2,885.6666666666666,1125.8666666666666,1197.5333333333333,849.2666666666667,,823.4,994.1333333333333,862.8,835.2,840.3333333333334,,978.0,,
2025-02-02 05:15:00,1098.2,869.5333333333333,1092.2,1203.2,814.5333333333333,,793.0,957.9333333333333,862.9333333333333,809.6,803.5333333333333,,950.9333333333333,,
2025-02-02 05:30:00,1232.0666666666666,868.9333333333333,1064.2666666666667,1223.2666666666667,792.8666666666667,,773.9333333333333,986.6666666666666,856.2666666666667,785.3333333333334,755.0666666666667,,922.8,,
2025-02-02 05:45:00,1124.2666666666667,872.6666666666666,1063.0,1284.2666666666667,796.1333333333333,,779.1333333333333,1053.3333333333333,818.5333333333333,757.0666666666667,741.0666666666667,,911.8666666666667,,
2025-02-02 06:00:00,1010.4666666666667,867.1333333333333,993.0,1309.6666666666667,758.4,,735.3333333333334,1027.2666666666667,826.4666666666667,736.0,786.5333333333333,,871.2,,
2025-02-02 06:15:00,918.0,846.7333333333333,967.3333333333334,1263.5333333333333,753.2666666666667,,726.5333333333333,935.8,794.8,722.8666666666667,750.6,,844.7333333333333,,
2025-02-02 06:30:00,912.1333333333333,827.8,951.3333333333334,1196.6666666666667,731.0,,727.9333333333333,927.4666666666667,777.8,709.1333333333333,733.2,,841.6666666666666,,
2025-02-02 06:45:00,929.4666666666667,828.8666666666667,945.6666666666666,1200.4,720.0666666666667,,779.8,872.3333333333334,788.7333333333333,704.2,742.0,,838.3333333333334,,
