Date/Time,1342_O_CLRN,7218_O_ETNA,8029_O_ETNA,2384_O_MILL,5571_O_BUFF,5624_O_BUFF,4880_O_DOWN,5651_O_SHRP,4365_O_ETNA,2071_O_NOSD,4431_O_WBG,6959_O_BRHT,5106_O_ETNA,8119_O_SHRP,4135_O_SHRP,1754_O_SHRP,8457_O_NSEW,8749_O_CNTP
2019-07-25 15:00:00,,,,,1070.5,1070.5,,,,,,32.92857142857143,,,,,,
2019-07-25 15:15:00,,,,,76.0,76.0,,,,,,31.133333333333333,,,,,,
2019-07-25 15:30:00,,,,,24.666666666666668,24.666666666666668,,,,,,26.866666666666667,,,,,,
2019-07-25 15:45:00,,,,,32.46666666666667,32.46666666666667,,,,,,25.066666666666666,,,,,,
2019-07-25 16:00:00,,,,,24.333333333333332,24.333333333333332,,,,,,24.466666666666665,,,,,,
2019-07-25 16:15:00,,,,,39.6,39.6,,,,,,23.666666666666668,,,,,,
2019-07-25 16:30:00,,,,,23.733333333333334,23.733333333333334,,,,,,24.733333333333334,,16.923076923076923,16.923076923076923,,,
2019-07-25 16:45:00,,,,,26.133333333333333,26.133333333333333,,,,,,27.466666666666665,,11.8,11.8,,,
2019-07-25 17:00:00,,,,,25.533333333333335,25.533333333333335,,,,,,31.8,,10.066666666666666,10.066666666666666,,,
2019-07-25 17:15:00,,,,,30.8,30.8,,,,,,28.933333333333334,,15.2,15.2,,,
2019-07-25 17:30:00,,,,,48.13333333333333,48.13333333333333,,,,,,28.933333333333334,,11.533333333333333,11.533333333333333,,,
2019-07-25 17:45:00,,,,,27.866666666666667,27.866666666666667,,,,,,38.333333333333336,,11.6,11.6,,,
2019-07-25 18:00:00,,,,,29.066666666666666,29.066666666666666,,,,,,20.933333333333334,,14.466666666666667,14.466666666666667,,,
2019-07-25 18:15:00,,,,,30.866666666666667,30.866666666666667,,,,,,18.866666666666667,,15.0,15.0,,,
2019-07-25 18:30:00,,,,,33.6,33.6,,,,,,19.866666666666667,,16.066666666666666,16.066666666666666,,,
2019-07-25 18:45:00,,,,,56.93333333333333,56.93333333333333,,,,,,34.06666666666667,,14.666666666666666,14.666666666666666,,,
2019-07-25 19:00:00,,,,,49.733333333333334,49.733333333333334,,,,,,23.266666666666666,,17.8,17.8,,,
2019-07-25 19:15:00,,,,,38.6,38.6,,,,,,20.666666666666668,,17.0,17.0,,,
2019-07-25 19:30:00,,,,,42.8,42.8,,,,,,25.8,,38.266666666666666,38.266666666666666,,,
2019-07-25 19:45:00,,,,,41.93333333333333,41.93333333333333,,,,,,116.73333333333333,,83.93333333333334,83.93333333333334,,,
2019-07-25 20:00:00,,,,,34.93333333333333,34.93333333333333,,,,,,33.2,,52.2,52.2,,,
2019-07-25 20:15:00,,,,,43.8,43.8,,,,,,28.666666666666668,,41.53333333333333,41.53333333333333,,,
2019-07-25 20:30:00,,,,,38.333333333333336,38.333333333333336,,,,,,167.66666666666666,,33.6,33.6,,,
2019-07-25 20:45:00,,,,,36.2,36.2,,,,,,38.53333333333333,,34.4,34.4,,,
2019-07-25 21:00:00,,,,,32.06666666666667,32.06666666666667,,,,,,39.333333333333336,,38.4,38.4,,,
2019-07-25 21:15:00,,,,,38.13333333333333,38.13333333333333,,,,,,47.8,,36.06666666666667,36.06666666666667,,,
2019-07-25 21:30:00,,,,,51.13333333333333,51.13333333333333,,,,,,51.2,,37.46666666666667,37.46666666666667,,,
2019-07-25 21:45:00,,,,,54.333333333333336,54.333333333333336,,,,,,42.666666666666664,,39.8,39.8,,,
2019-07-25 22:00:00,,,,,51.4,51.4,,,,,,49.86666666666667,,38.8,38.8,,,
2019-07-25 22:15:00,,,,,67.4,67.4,,,,,,100.33333333333333,,38.46666666666667,38.46666666666667,,,
2019-07-25 22:30:00,,,,,63.6,63.6,,,,,,129.66666666666666,,44.666666666666664,44.666666666666664,,,
2019-07-25 22:45:00,,,,,69.0,69.0,,,,,,241.33333333333334,,43.6,43.6,,,
2019-07-25 23:00:00,,,,,68.8,68.8,,,,,,340.1333333333333,,46.666666666666664,46.666666666666664,,,
2019-07-25 23:15:00,,,,,62.6,62.6,,,,,,496.6,,47.06666666666667,47.06666666666667,,,
2019-07-25 23:30:00,,,,,70.26666666666667,70.26666666666667,,,,,,621.8666666666667,,47.4,47.4,,,
2019-07-25 23:45:00,,,,,68.2,68.2,,,,,,1298.2666666666667,,47.06666666666667,47.06666666666667,,,
2019-07-26 00:00:00,,,,,65.0,65.0,,,,,,1387.6,,48.93333333333333,48.93333333333333,,,
2019-07-26 00:15:00,,,,,63.8,63.8,,,,,,1521.3333333333333,,47.8,47.8,,,
2019-07-26 00:30:00,,,,,62.46666666666667,62.46666666666667,,,,,,1606.8666666666666,,49.0,49.0,,,
2019-07-26 00:45:00,,,,,59.0,59.0,,,,,,2537.266666666667,,54.0,54.0,,,
2019-07-26 01:00:00,,,,,62.666666666666664,62.666666666666664,,,,,,2196.9333333333334,,52.6,52.6,,,
2019-07-26 01:15:00,,,,,64.4,64.4,,,,,,3311.8,,51.53333333333333,51.53333333333333,,,
2019-07-26 01:30:00,,,,,68.33333333333333,68.33333333333333,,,,,,3479.6,,53.733333333333334,53.733333333333334,,,
2019-07-26 01:45:00,,,,,61.53333333333333,61.53333333333333,,,,,,3711.4666666666667,,51.8,51.8,,,
2019-07-26 02:00:00,,,,,59.666666666666664,59.666666666666664,,,,,,4321.333333333333,,50.93333333333333,50.93333333333333,,,
2019-07-26 02:15:00,,,,,60.0,60.0,,,,,,4536.8,,50.6,50.6,,,
