Date/Time,6132_O_MONG,2020_O_CASM_CA,4087_O_OKDL,8676_O_SWVL,8898_O_NBRD,5281_O_EDWD,6994_O_ALPK,7830_O_MERF_ME,5733_O_VARN_VA,2041_O_SWVL,6170_O_MTLE,8750_O_DOWN,6254_O_FXCP,7833_O_VARN_VA,2674_O_FRHL,1094_O_SQHL,2430_O_GRBG,4431_O_WBG
2021-12-07 15:00:00,903.9285714285714,3006.6428571428573,,,,,,,,,,1888.4285714285713,,,,,,
2021-12-07 15:15:00,940.2666666666667,3102.866666666667,,,,,,,,,,2313.133333333333,,,,,,
2021-12-07 15:30:00,1020.6666666666666,2673.733333333333,,,,,,,,,,2956.6,,,,,,
2021-12-07 15:45:00,1059.4,2821.866666666667,,,,,,,,,,1390.7333333333333,,,,,,
2021-12-07 16:00:00,968.1333333333333,2749.3333333333335,,,,,,,,,,1033.4,,,,,,
2021-12-07 16:15:00,1120.3333333333333,2633.0,,,,,,,,,,1728.2,,,,,,
2021-12-07 16:30:00,1024.5333333333333,2382.133333333333,,,,,,,,,,2524.866666666667,,,,,,
2021-12-07 16:45:00,949.0666666666667,2513.133333333333,,,,,,,,,,911.9333333333333,,,,,,
2021-12-07 17:00:00,681.4666666666667,2715.0666666666666,,,,,,,,,,1641.2666666666667,,,,,,
2021-12-07 17:15:00,622.0666666666667,2639.2,,,,,,,,,,1400.8,,,,,,
2021-12-07 17:30:00,642.7333333333333,2506.6,,,,,,,,,,1034.3333333333333,,,,,,
2021-12-07 17:45:00,609.8,2398.733333333333,,,,,,,,,,1087.9333333333334,,,,,,
2021-12-07 18:00:00,632.6,2393.866666666667,,,,,,,,,,1127.4666666666667,,,,,,
2021-12-07 18:15:00,583.5333333333333,2252.2,,,,,,,,,,1214.8,,,,,,
2021-12-07 18:30:00,563.0,2435.6666666666665,,,,,,219.0,,,,1065.1333333333334,,,,,,
2021-12-07 18:45:00,509.3333333333333,2494.266666666667,,,,,,213.8,,,,974.6,,,,,,
2021-12-07 19:00:00,492.8666666666667,2244.3333333333335,,,,,,232.93333333333334,,,,930.8666666666667,,,,,,
2021-12-07 19:15:00,551.7333333333333,2094.733333333333,,,,,,303.8666666666667,,,,1946.0666666666666,,,,,,
2021-12-07 19:30:00,595.9333333333333,2424.4,,,,,,315.2,,,,3328.6666666666665,,,,,,
2021-12-07 19:45:00,602.7333333333333,3407.866666666667,,,,,,295.0,,,,1790.7333333333333,,,,,,
2021-12-07 20:00:00,1194.6,2928.866666666667,,,,,,312.1333333333333,,,,1178.1333333333334,,,,,,
2021-12-07 20:15:00,796.8666666666667,2725.6,,,,,,337.1333333333333,,,,1061.2666666666667,,,,,,
2021-12-07 20:30:00,857.4666666666667,2525.0666666666666,,,,,,339.6666666666667,,,,1106.1333333333334,,,,,,
2021-12-07 20:45:00,1009.5333333333333,2406.5333333333333,,,,,,312.8666666666667,,,,1070.4666666666667,,,,,,
2021-12-07 21:00:00,898.0,2260.266666666667,,,,,,300.4,,,,1040.6666666666667,,,,,,
2021-12-07 21:15:00,680.2666666666667,2386.866666666667,,,,,,294.2,,,,1211.0,,,,,,
2021-12-07 21:30:00,707.3333333333334,2415.133333333333,,,,,,288.6,,,,1085.2,,,,,,
2021-12-07 21:45:00,954.8,2692.133333333333,,,,,,281.46666666666664,,,,1007.8666666666667,,,,,,
2021-12-07 22:00:00,1157.5333333333333,2842.866666666667,,,,,,277.8666666666667,,,,1012.9333333333333,,,,,,
2021-12-07 22:15:00,1187.3333333333333,2874.0,,,,,,333.3333333333333,,,,1006.6,,,,,,
2021-12-07 22:30:00,1256.7333333333333,3164.866666666667,,,,,,375.6666666666667,,,,986.9333333333333,,,,,,
2021-12-07 22:45:00,1268.4,3309.266666666667,,,,,,390.93333333333334,,,,1075.2666666666667,,,,,,
2021-12-07 23:00:00,1240.5333333333333,3885.6,,,,,,424.2,,,,1302.3333333333333,,,,,,
2021-12-07 23:15:00,1167.8666666666666,4595.066666666667,,,,,,509.8,,,,1116.0666666666666,,,,,,
2021-12-07 23:30:00,1312.6,5452.666666666667,,,,,,543.5333333333333,,,,1083.9333333333334,,,,,,
2021-12-07 23:45:00,1461.9333333333334,6523.066666666667,,,,,,517.4666666666667,,,,1078.0666666666666,,,,,,
2021-12-08 00:00:00,1545.1333333333334,6831.2,,,,,,544.0,,,,1067.4666666666667,,,,,,
2021-12-08 00:15:00,1586.2,6889.333333333333,,,,,,610.0,,,,1036.0666666666666,,,,,,
2021-12-08 00:30:00,1648.2666666666667,4880.333333333333,,,,,,578.4666666666667,,,,1017.2,,,,,,
2021-12-08 00:45:00,1750.3333333333333,2300.4,,,,,,577.4666666666667,,,,1123.0,,,,,,
2021-12-08 01:00:00,1751.0666666666666,937.3333333333334,,,,,,529.3333333333334,,,,1119.7333333333333,,,,,,
2021-12-08 01:15:00,1602.5333333333333,306.06666666666666,,,,,,481.53333333333336,,,,1137.0666666666666,,,,,,
2021-12-08 01:30:00,1488.4,277.4,,,,,,448.53333333333336,,,,1184.4666666666667,,,,,,
2021-12-08 01:45:00,1511.7333333333333,466.46666666666664,,,,,,363.93333333333334,,,,1220.0,,,,,,
2021-12-08 02:00:00,1700.0666666666666,539.2,,,,,,352.53333333333336,,,,1243.7333333333333,,,,,,
2021-12-08 02:15:00,1855.6,619.1333333333333,,,,,,348.93333333333334,,,,1279.8666666666666,,,,,,
2021-12-08 02:30:00,1802.2666666666667,583.9333333333333,,,,,,306.6666666666667,,,,1304.6,,,,,,
