Date/Time,4363_O_SQHS,7915_O_ROSS,8998_O_CHAR,5571_O_BUFF,1249_O_GRTR,8367_O_DORM,5088_O_DORM,2130_O_MTOV,3794_O_DORM,2759_O_BRHT,5624_O_BUFF,4431_O_WBG,8941_O_MTLE,4179_O_SPHL,5623_O_LWCV,3781_O_EDTW
2018-12-14 15:00:00,152.92857142857142,163.21428571428572,1306.357142857143,56.42857142857143,203.78571428571428,101.35714285714286,246.71428571428572,,96.92857142857143,189.64285714285714,56.42857142857143,,187.07142857142858,233.57142857142858,235.57142857142858,312.7142857142857
2018-12-14 15:15:00,256.8,271.6666666666667,1081.8,46.93333333333333,227.66666666666666,102.26666666666667,133.8,,102.66666666666667,179.2,46.93333333333333,,169.33333333333334,253.66666666666666,180.06666666666666,348.3333333333333
2018-12-14 15:30:00,230.73333333333332,254.33333333333334,1459.6666666666667,42.8,229.93333333333334,92.33333333333333,,,105.2,194.6,42.8,,133.13333333333333,196.93333333333334,207.2,330.53333333333336
2018-12-14 15:45:00,163.46666666666667,446.0,571.3333333333334,46.266666666666666,229.66666666666666,202.0,145.85714285714286,,103.8,189.06666666666666,46.266666666666666,,78.4,200.86666666666667,202.53333333333333,345.6666666666667
2018-12-14 16:00:00,158.93333333333334,278.4,471.8666666666667,50.93333333333333,239.4,212.46666666666667,101.86666666666666,,157.86666666666667,262.8666666666667,50.93333333333333,,64.4,194.66666666666666,247.13333333333333,336.46666666666664
2018-12-14 16:15:00,173.46666666666667,366.73333333333335,259.93333333333334,59.2,227.73333333333332,221.8,74.66666666666667,,192.73333333333332,287.73333333333335,59.2,,61.06666666666667,195.06666666666666,187.2,335.3333333333333
2018-12-14 16:30:00,167.06666666666666,308.73333333333335,173.93333333333334,65.2,253.6,253.86666666666667,78.4,,197.06666666666666,291.2,65.2,,58.333333333333336,172.93333333333334,258.53333333333336,325.06666666666666
2018-12-14 16:45:00,157.33333333333334,380.93333333333334,97.6,455.3333333333333,237.8,167.2,88.26666666666667,,191.46666666666667,280.8666666666667,455.3333333333333,,64.66666666666667,135.53333333333333,291.8,306.1333333333333
2018-12-14 17:00:00,140.0,317.3333333333333,76.46666666666667,91.33333333333333,219.8,93.33333333333333,88.06666666666666,,121.73333333333333,231.53333333333333,91.33333333333333,,67.13333333333334,132.33333333333334,158.93333333333334,298.1333333333333
2018-12-14 17:15:00,119.8,285.8666666666667,42.6,152.13333333333333,183.06666666666666,74.4,86.53333333333333,,65.06666666666666,238.86666666666667,152.13333333333333,,70.8,137.4,122.26666666666667,254.6
2018-12-14 17:30:00,118.73333333333333,252.6,38.333333333333336,130.13333333333333,103.86666666666666,81.13333333333334,93.06666666666666,,69.0,220.2,130.13333333333333,,67.73333333333333,148.73333333333332,96.13333333333334,236.73333333333332
2018-12-14 17:45:00,115.13333333333334,265.8666666666667,34.93333333333333,97.2,110.26666666666667,87.46666666666667,94.33333333333333,,74.6,192.06666666666666,97.2,,92.33333333333333,94.6,95.93333333333334,110.33333333333333
2018-12-14 18:00:00,121.26666666666667,235.06666666666666,111.53333333333333,773.2,94.86666666666666,87.93333333333334,94.4,,80.86666666666666,135.33333333333334,773.2,,102.13333333333334,80.2,90.13333333333334,104.8
2018-12-14 18:15:00,128.06666666666666,172.53333333333333,129.6,1103.5333333333333,91.8,86.66666666666667,93.8,,76.93333333333334,91.93333333333334,1103.5333333333333,,103.73333333333333,79.2,93.4,99.13333333333334
2018-12-14 18:30:00,127.93333333333334,169.2,168.93333333333334,161.73333333333332,86.6,85.73333333333333,95.4,,75.4,86.73333333333333,161.73333333333332,,92.33333333333333,84.86666666666666,98.2,103.66666666666667
2018-12-14 18:45:00,130.93333333333334,153.4,129.4,109.73333333333333,84.46666666666667,95.4,103.46666666666667,,84.13333333333334,84.33333333333333,109.73333333333333,,92.2,90.8,100.0,114.93333333333334
2018-12-14 19:00:00,135.6,144.53333333333333,106.6,76.4,83.2,88.2,97.66666666666667,,82.33333333333333,85.26666666666667,76.4,,85.46666666666667,92.33333333333333,100.66666666666667,114.93333333333334
2018-12-14 19:15:00,147.4,139.06666666666666,90.86666666666666,343.8,77.26666666666667,89.86666666666666,96.2,,83.0,91.26666666666667,343.8,,86.4,125.93333333333334,111.6,142.4
2018-12-14 19:30:00,147.73333333333332,138.2,78.4,195.73333333333332,83.06666666666666,90.93333333333334,99.93333333333334,,85.6,85.6,195.73333333333332,,65.66666666666667,193.66666666666666,100.8,196.73333333333332
2018-12-14 19:45:00,133.06666666666666,129.86666666666667,65.2,120.33333333333333,86.2,88.13333333333334,107.06666666666666,,85.2,81.93333333333334,120.33333333333333,,50.2,218.66666666666666,87.93333333333334,282.6666666666667
2018-12-14 20:00:00,127.46666666666667,132.33333333333334,55.266666666666666,116.8,85.93333333333334,79.86666666666666,103.53333333333333,,79.6,72.5,116.8,,45.666666666666664,142.33333333333334,80.86666666666666,237.73333333333332
2018-12-14 20:15:00,124.26666666666667,125.06666666666666,25.466666666666665,60.86666666666667,85.0,76.93333333333334,92.33333333333333,,78.46666666666667,63.857142857142854,60.86666666666667,,46.0,101.2,73.46666666666667,176.6
2018-12-14 20:30:00,134.33333333333334,120.06666666666666,16.333333333333332,85.13333333333334,77.33333333333333,73.4,93.93333333333334,,75.53333333333333,168.66666666666666,85.13333333333334,,48.6,90.6,79.86666666666666,158.6
2018-12-14 20:45:00,148.33333333333334,122.93333333333334,11.933333333333334,64.93333333333334,84.4,78.0,98.06666666666666,,76.4,239.06666666666666,64.93333333333334,,80.2,98.26666666666667,83.4,146.8
