Date/Time,5388_O_OHRA,9991_O_ALTO,5635_O_SEWY,8445_O_LNPL,9063_O_COLS,1400_O_MCCA,4749_O_JEFF,9267_O_SQHL,3050_O_OHCO,1266_O_WLKG
2026-05-02 04:15:00,,1170.2,,,1899.86666667,3811.93333333,1467.86666667,1758.93333333,,
2026-05-02 04:30:00,,1260.93333333,,,1888.66666667,3850.33333333,1388.33333333,1814.93333333,,
2026-05-02 04:45:00,,1326.0,,,1946.26666667,3790.6,1762.6,2039.26666667,,
2026-05-02 05:00:00,,1276.2,,,1787.33333333,4014.13333333,1611.4,2308.93333333,,
2026-05-02 05:15:00,,1246.4,,,1614.6,3946.46666667,1816.4,2616.26666667,,
2026-05-02 05:30:00,,1230.46666667,,,1578.86666667,3785.8,2190.06666667,2891.93333333,,
2026-05-02 05:45:00,,1230.93333333,,,1539.4,3892.13333333,3247.13333333,3201.2,,
2026-05-02 06:00:00,,1331.0,,,1456.66666667,4280.6,2321.33333333,3272.13333333,,
2026-05-02 06:15:00,,1855.6,,,1443.13333333,4511.46666667,1548.06666667,3461.2,,
2026-05-02 06:30:00,,1942.2,,,1438.6,4539.93333333,2001.66666667,4116.53333333,,
2026-05-02 06:45:00,,1608.06666667,,,1401.6,4566.4,1771.33333333,4197.6,,
2026-05-02 07:00:00,,1393.53333333,,,1183.26666667,4430.86666667,2152.86666667,4429.93333333,,
2026-05-02 07:15:00,,1279.13333333,,,895.33333333,4682.26666667,2382.4,4983.86666667,,
2026-05-02 07:30:00,,1238.86666667,,,585.26666667,4660.86666667,2801.73333333,5680.06666667,,
2026-05-02 07:45:00,,1210.06666667,,,570.86666667,5687.33333333,2443.06666667,6184.46666667,,
2026-05-02 08:00:00,,1186.4,,,506.13333333,6303.0,2747.4,6355.06666667,,
2026-05-02 08:15:00,,1178.73333333,,,445.33333333,6083.8,2740.53333333,5859.8,,
2026-05-02 08:30:00,,1147.0,,,399.33333333,6182.8,2697.6,5870.6,,
2026-05-02 08:45:00,,1122.0,,,399.73333333,5530.53333333,7908.33333333,5475.6,,
2026-05-02 09:00:00,,1206.2,,,428.46666667,4985.6,2418.66666667,4814.73333333,,
2026-05-02 09:15:00,,1070.66666667,,,522.6,4340.73333333,5352.33333333,3702.26666667,,
2026-05-02 09:30:00,,978.26666667,,,586.13333333,3453.13333333,1908.0,3460.13333333,,
2026-05-02 09:45:00,,908.8,,,520.93333333,2822.6,1079.6,2698.8,,
2026-05-02 10:00:00,,836.33333333,,,427.2,2673.33333333,1052.73333333,2175.33333333,,
2026-05-02 10:15:00,784.14285714,729.46666667,,,380.93333333,2526.4,810.73333333,1971.13333333,,
2026-05-02 10:30:00,1326.93333333,611.4,,,378.26666667,2636.93333333,3586.93333333,1845.73333333,,
2026-05-02 10:45:00,1290.26666667,572.0,,,344.73333333,2944.46666667,686.73333333,1606.93333333,,
2026-05-02 11:00:00,1304.6,584.66666667,,,336.53333333,2601.66666667,1339.0,1370.13333333,,
2026-05-02 11:15:00,1940.73333333,592.53333333,,,281.86666667,2055.2,865.13333333,1531.73333333,,
2026-05-02 11:30:00,1876.13333333,611.93333333,,,282.66666667,1217.53333333,4507.2,1347.8,,
2026-05-02 11:45:00,1706.66666667,585.06666667,,,231.93333333,1915.93333333,674.93333333,1281.0,,
