Date/Time,1356_O_MTLE,7881_O_PLHL,5825_O_BADN,4052_O_GNFD,3268_O_BLOO,4654_O_SQHL,6486_O_HIPK
2015-10-24 17:30:00,,111.33333333333333,109.86666666666666,90.26666666666667,,,241.93333333333334
2015-10-24 17:45:00,,113.2,109.8,88.4,,,221.8
2015-10-24 18:00:00,,109.13333333333334,106.46666666666667,93.93333333333334,,,216.86666666666667
2015-10-24 18:15:00,,97.86666666666666,104.8,78.06666666666666,,,215.33333333333334
2015-10-24 18:30:00,,99.73333333333333,103.06666666666666,78.33333333333333,,,218.46666666666667
2015-10-24 18:45:00,,101.6,91.6,75.93333333333334,,,220.2
2015-10-24 19:00:00,,102.73333333333333,86.8,80.93333333333334,,,226.4
2015-10-24 19:15:00,,101.46666666666667,73.13333333333334,74.93333333333334,,,204.06666666666666
2015-10-24 19:30:00,,101.53333333333333,72.46666666666667,67.66666666666667,,,168.33333333333334
2015-10-24 19:45:00,,98.0,75.73333333333333,69.2,,,151.06666666666666
2015-10-24 20:00:00,,97.66666666666667,77.73333333333333,70.2,,,152.33333333333334
2015-10-24 20:15:00,,98.86666666666666,76.46666666666667,74.33333333333333,,,159.06666666666666
2015-10-24 20:30:00,,99.73333333333333,75.26666666666667,74.6,,,159.06666666666666
2015-10-24 20:45:00,,109.06666666666666,75.93333333333334,78.06666666666666,,,173.0
2015-10-24 21:00:00,,104.86666666666666,93.4,78.13333333333334,,,192.86666666666667
2015-10-24 21:15:00,,108.26666666666667,108.13333333333334,85.53333333333333,,,196.4
2015-10-24 21:30:00,,106.13333333333334,105.6,86.26666666666667,,,194.46666666666667
2015-10-24 21:45:00,,108.73333333333333,103.26666666666667,81.4,,,173.93333333333334
2015-10-24 22:00:00,,111.6,90.93333333333334,78.46666666666667,,,165.8
2015-10-24 22:15:00,,108.06666666666666,87.53333333333333,77.33333333333333,,,163.4
2015-10-24 22:30:00,,105.2,78.2,78.53333333333333,,,166.33333333333334
2015-10-24 22:45:00,,107.86666666666666,73.53333333333333,74.8,,,159.26666666666668
2015-10-24 23:00:00,,100.6,61.8,68.46666666666667,,,148.66666666666666
2015-10-24 23:15:00,,103.26666666666667,53.2,70.2,,,145.6
2015-10-24 23:30:00,,98.8,45.86666666666667,69.0,,,137.46666666666667
2015-10-24 23:45:00,,105.86666666666666,47.333333333333336,67.73333333333333,,,134.4
2015-10-25 00:00:00,,101.66666666666667,45.266666666666666,61.06666666666667,,,126.8
2015-10-25 00:15:00,,96.26666666666667,41.06666666666667,55.4,,,113.0
2015-10-25 00:30:00,,96.46666666666667,36.86666666666667,59.13333333333333,,,107.0
2015-10-25 00:45:00,,90.73333333333333,39.0,56.53333333333333,,,108.66666666666667
2015-10-25 01:00:00,,84.33333333333333,46.4,51.06666666666667,,,102.8
2015-10-25 01:15:00,,70.0,54.266666666666666,49.13333333333333,,,96.13333333333334
2015-10-25 01:30:00,,66.8,55.4,44.6,,,88.46666666666667
2015-10-25 01:45:00,,61.53333333333333,40.2,40.266666666666666,,,88.46666666666667
2015-10-25 02:00:00,,56.8,34.6,38.13333333333333,,,79.2
2015-10-25 02:15:00,,50.666666666666664,34.53333333333333,36.53333333333333,,,69.73333333333333
2015-10-25 02:30:00,,45.733333333333334,40.13333333333333,32.93333333333333,,,65.0
2015-10-25 02:45:00,,36.666666666666664,50.86666666666667,34.6,,,53.53333333333333
2015-10-25 03:00:00,,36.86666666666667,51.2,33.266666666666666,,,49.2
2015-10-25 03:15:00,,41.733333333333334,53.93333333333333,36.4,,,50.93333333333333
2015-10-25 03:30:00,,39.0,52.8,37.13333333333333,,,52.266666666666666
2015-10-25 03:45:00,,42.8,49.266666666666666,36.333333333333336,,,59.666666666666664
2015-10-25 04:00:00,,46.06666666666667,47.86666666666667,36.13333333333333,,,63.266666666666666
2015-10-25 04:15:00,,46.4,40.733333333333334,40.666666666666664,,,67.86666666666666
2015-10-25 04:30:00,,45.4,38.333333333333336,39.333333333333336,,,73.4
2015-10-25 04:45:00,,47.333333333333336,39.0,40.2,,,66.6
2015-10-25 05:00:00,,48.733333333333334,33.266666666666666,36.733333333333334,,,64.4
2015-10-25 05:15:00,,47.333333333333336,32.93333333333333,39.0,,,65.06666666666666
2015-10-25 05:30:00,,50.333333333333336,37.333333333333336,36.4,,,54.4
2015-10-25 05:45:00,,45.86666666666667,35.86666666666667,38.0,,,54.2
2015-10-25 06:00:00,,47.6,35.46666666666667,37.4,,,49.13333333333333
2015-10-25 06:15:00,,47.53333333333333,28.933333333333334,36.733333333333334,,,49.6
2015-10-25 06:30:00,,52.4,22.933333333333334,33.93333333333333,,,59.333333333333336
2015-10-25 06:45:00,,45.46666666666667,23.266666666666666,37.2,,,56.86666666666667
2015-10-25 07:00:00,,49.266666666666666,26.0,38.46666666666667,,,48.06666666666667
2015-10-25 07:15:00,,47.333333333333336,30.333333333333332,38.86666666666667,,,38.333333333333336
2015-10-25 07:30:00,,47.333333333333336,30.066666666666666,35.266666666666666,,,33.93333333333333
2015-10-25 07:45:00,,49.733333333333334,32.266666666666666,33.93333333333333,,,32.6
2015-10-25 08:00:00,,45.53333333333333,28.466666666666665,26.333333333333332,,,32.4
2015-10-25 08:15:00,,42.666666666666664,25.2,27.466666666666665,,,32.4
2015-10-25 08:30:00,,41.86666666666667,19.533333333333335,30.066666666666666,,,36.733333333333334
2015-10-25 08:45:00,,32.4,21.733333333333334,28.933333333333334,,,32.93333333333333
2015-10-25 09:00:00,,32.86666666666667,20.466666666666665,27.266666666666666,,,29.133333333333333
2015-10-25 09:15:00,,30.8,23.8,23.4,,,28.0
2015-10-25 09:30:00,,29.2,23.6,23.666666666666668,,,28.533333333333335
2015-10-25 09:45:00,,26.333333333333332,23.733333333333334,22.785714285714285,28.09090909090909,,27.6
2015-10-25 10:00:00,,26.533333333333335,21.4,23.071428571428573,26.266666666666666,,29.333333333333332
2015-10-25 10:15:00,,24.2,17.4,20.2,24.866666666666667,,34.0
2015-10-25 10:30:00,,21.133333333333333,18.466666666666665,21.2,24.133333333333333,,36.0
2015-10-25 10:45:00,,22.933333333333334,19.933333333333334,20.4,23.333333333333332,,31.866666666666667
2015-10-25 11:00:00,,27.066666666666666,25.066666666666666,20.133333333333333,21.6,,29.733333333333334
2015-10-25 11:15:00,,25.4,25.066666666666666,20.6,19.8,,27.8
2015-10-25 11:30:00,,21.866666666666667,21.133333333333333,18.133333333333333,19.866666666666667,,25.733333333333334
2015-10-25 11:45:00,,23.4,22.8,16.266666666666666,18.8,,23.066666666666666
2015-10-25 12:00:00,,23.466666666666665,28.733333333333334,16.8,19.133333333333333,,22.933333333333334
2015-10-25 12:15:00,,19.6,19.133333333333333,16.6,18.533333333333335,31.0,24.066666666666666
2015-10-25 12:30:00,,20.6,24.066666666666666,16.066666666666666,19.333333333333332,20.8,22.466666666666665
2015-10-25 12:45:00,,22.266666666666666,19.733333333333334,15.266666666666667,16.733333333333334,18.733333333333334,22.533333333333335
2015-10-25 13:00:00,,17.666666666666668,18.066666666666666,14.466666666666667,14.8,21.933333333333334,22.066666666666666
2015-10-25 13:15:00,,17.2,19.4,14.0,17.533333333333335,19.8,22.0
2015-10-25 13:30:00,,17.133333333333333,19.8,13.933333333333334,15.066666666666666,18.066666666666666,24.066666666666666
