Date/Time,6227_O_ELIB,1282_O_BCVW,1404_O_TROY,1639_O_ELIB,5679_O_BLOO,2071_O_NOSD,5624_O_BUFF,1502_O_BLPK,8941_O_MTLE,5008_O_HWD,4576_O_EMSW,6809_O_SQHS,8183_O_MILL,5571_O_BUFF,4431_O_WBG,6582_O_OAKD,4386_O_MTLE,7543_O_MILL
2017-04-26 15:00:00,,,,,26.214285714285715,25.214285714285715,21.857142857142858,20.928571428571427,41.42857142857143,27.357142857142858,,,,21.857142857142858,25.785714285714285,,,
2017-04-26 15:15:00,,,,,24.666666666666668,24.133333333333333,20.133333333333333,22.4,40.266666666666666,36.13333333333333,,,,20.133333333333333,29.933333333333334,,42.0,
2017-04-26 15:30:00,,,,,25.866666666666667,24.866666666666667,26.533333333333335,25.866666666666667,50.0,29.6,,,,26.533333333333335,26.533333333333335,,,
2017-04-26 15:45:00,,,,,23.8,22.8,22.533333333333335,23.533333333333335,39.733333333333334,25.866666666666667,,,,22.533333333333335,28.6,,,
2017-04-26 16:00:00,,,,,29.066666666666666,24.8,24.466666666666665,22.733333333333334,26.8,26.533333333333335,,,,24.466666666666665,28.0,,,
2017-04-26 16:15:00,,,,,27.933333333333334,25.6,21.333333333333332,22.533333333333335,23.4,27.8,,,,21.333333333333332,29.6,,,
2017-04-26 16:30:00,,,,,26.066666666666666,23.4,22.066666666666666,23.4,15.0,26.4,,,,22.066666666666666,28.8,,,
2017-04-26 16:45:00,,,,,24.266666666666666,27.8,33.53333333333333,22.466666666666665,32.666666666666664,27.6,,,,33.53333333333333,26.0,,,
2017-04-26 17:00:00,,,,,25.933333333333334,28.4,22.533333333333335,23.066666666666666,33.733333333333334,37.6,,,,22.533333333333335,26.8,,,
2017-04-26 17:15:00,,,,,24.666666666666668,33.13333333333333,24.4,25.866666666666667,24.0,34.86666666666667,,,,24.4,25.8,,,
2017-04-26 17:30:00,,,,,33.733333333333334,48.93333333333333,24.533333333333335,26.866666666666667,19.333333333333332,30.866666666666667,,,,24.533333333333335,23.533333333333335,,,
2017-04-26 17:45:00,,,,,24.333333333333332,61.0,20.933333333333334,27.866666666666667,57.6,29.6,,,,20.933333333333334,23.6,,,
2017-04-26 18:00:00,,,,,32.4,55.86666666666667,22.8,36.333333333333336,18.133333333333333,27.933333333333334,,,,22.8,24.066666666666666,,,
2017-04-26 18:15:00,,,,,29.333333333333332,51.06666666666667,46.46666666666667,49.666666666666664,11.466666666666667,25.0,,,,46.46666666666667,25.133333333333333,,,
2017-04-26 18:30:00,,,,,29.666666666666668,62.666666666666664,22.6,33.4,7.866666666666666,23.733333333333334,,,,22.6,47.6,,,
2017-04-26 18:45:00,,,,,29.8,48.4,20.4,265.1333333333333,6.066666666666666,31.466666666666665,,,,20.4,28.533333333333335,,,
2017-04-26 19:00:00,,,,,27.8,42.8,20.266666666666666,382.73333333333335,4.2,31.0,,,,20.266666666666666,33.6,,,
2017-04-26 19:15:00,,,,,26.533333333333335,94.6,26.866666666666667,158.0,4.2,32.8,,,,26.866666666666667,34.733333333333334,,,
2017-04-26 19:30:00,,,,,31.066666666666666,242.93333333333334,26.266666666666666,96.73333333333333,4.2,32.13333333333333,,,,26.266666666666666,36.0,,,
2017-04-26 19:45:00,,,,,33.733333333333334,129.6,28.666666666666668,110.4,4.133333333333334,28.933333333333334,,,,28.666666666666668,35.6,,,
2017-04-26 20:00:00,,,,,39.0,82.2,28.733333333333334,464.46666666666664,24.266666666666666,34.4,,,,28.733333333333334,46.733333333333334,,,
2017-04-26 20:15:00,,,,,37.266666666666666,72.13333333333334,26.8,110.33333333333333,16.8,39.733333333333334,,,,26.8,34.2,,,
2017-04-26 20:30:00,,,,,43.357142857142854,58.8,27.466666666666665,99.66666666666667,8.0,39.13333333333333,,,,27.466666666666665,39.86666666666667,,,
2017-04-26 20:45:00,,,,,,44.86666666666667,31.8,64.26666666666667,9.666666666666666,30.4,,,,31.8,48.06666666666667,,,
2017-04-26 21:00:00,,,,,,40.333333333333336,34.333333333333336,64.86666666666666,14.4,29.933333333333334,,,,34.333333333333336,42.2,,,
2017-04-26 21:15:00,,,,,,39.2,32.733333333333334,43.8,20.8,34.13333333333333,,,,32.733333333333334,55.53333333333333,,,
2017-04-26 21:30:00,,,,,,41.6,31.466666666666665,57.8,20.4,40.86666666666667,,,,31.466666666666665,43.733333333333334,,,
2017-04-26 21:45:00,,,,,,45.666666666666664,31.0,69.53333333333333,23.8,43.46666666666667,,,,31.0,47.06666666666667,,,
2017-04-26 22:00:00,,,,,,49.13333333333333,33.666666666666664,50.53333333333333,35.6,36.2,,,,33.666666666666664,43.13333333333333,,,
2017-04-26 22:15:00,,,,,,54.13333333333333,36.733333333333334,42.733333333333334,43.2,35.266666666666666,,,,36.733333333333334,45.46666666666667,,,
2017-04-26 22:30:00,,,,,,60.733333333333334,31.733333333333334,41.06666666666667,45.4,34.86666666666667,,,,31.733333333333334,41.733333333333334,,,
2017-04-26 22:45:00,,,937.0833333333334,,,65.8,32.6,39.46666666666667,47.8,42.8,,,,32.6,37.8,,,
2017-04-26 23:00:00,,,56.53333333333333,,,71.13333333333334,34.46666666666667,41.6,60.93333333333333,54.4,,,,34.46666666666667,38.6,,,
2017-04-26 23:15:00,,,56.46666666666667,,,64.8,35.0,34.6,55.13333333333333,50.86666666666667,,,,35.0,38.86666666666667,,,
2017-04-26 23:30:00,,,52.13333333333333,,,65.26666666666667,35.6,38.4,48.0,43.53333333333333,,,,35.6,40.666666666666664,,,
