Date/Time,6582_O_OAKD,1712_O_SQHS,1502_O_BLPK,1441_O_CARN,4530_O_CNTP,4431_O_WBG,5624_O_BUFF,8941_O_MTLE,3037_O_BLPK,2071_O_NOSD,5679_O_BLOO,7075_O_BLOO
2018-02-09 15:00:00,53.714285714285715,,,68.35714285714286,43.785714285714285,71.14285714285714,46.07142857142857,112.78571428571429,,,,
2018-02-09 15:15:00,51.333333333333336,,,70.86666666666666,34.4,71.93333333333334,48.266666666666666,137.4,,,,
2018-02-09 15:30:00,58.06666666666667,,,81.93333333333334,36.733333333333334,74.86666666666666,45.13333333333333,126.6,,,,
2018-02-09 15:45:00,64.86666666666666,,,93.6,37.13333333333333,64.06666666666666,42.2,92.4,,,,
2018-02-09 16:00:00,52.733333333333334,,,87.4,38.733333333333334,48.333333333333336,38.06666666666667,85.86666666666666,,,,
2018-02-09 16:15:00,52.93333333333333,,,79.13333333333334,36.6,70.2,38.266666666666666,98.33333333333333,30.0,,,
2018-02-09 16:30:00,56.333333333333336,,,61.93333333333333,37.93333333333333,48.93333333333333,40.266666666666666,108.53333333333333,42.6,,,
2018-02-09 16:45:00,58.4,,,51.93333333333333,40.4,51.666666666666664,40.6,118.2,57.4,,,
2018-02-09 17:00:00,58.2,,,97.4,39.0,45.733333333333334,39.733333333333334,118.55555555555556,54.46666666666667,,,
2018-02-09 17:15:00,67.26666666666667,72.78571428571429,,60.0,43.86666666666667,79.06666666666666,38.666666666666664,124.9,51.46666666666667,,,
2018-02-09 17:30:00,73.13333333333334,100.73333333333333,,56.8,50.13333333333333,86.93333333333334,41.0,109.53333333333333,52.86666666666667,,,
2018-02-09 17:45:00,92.13333333333334,113.8,,57.0,42.666666666666664,60.266666666666666,38.46666666666667,67.4,53.6,,,
2018-02-09 18:00:00,105.53333333333333,118.33333333333333,,54.266666666666666,42.13333333333333,90.4,34.53333333333333,90.73333333333333,61.46666666666667,,,
2018-02-09 18:15:00,103.93333333333334,95.66666666666667,,49.0,41.333333333333336,46.8,32.13333333333333,78.8,104.8,,,
2018-02-09 18:30:00,111.46666666666667,86.0,,51.733333333333334,39.333333333333336,53.266666666666666,30.533333333333335,90.2,67.66666666666667,,,
2018-02-09 18:45:00,99.2,78.26666666666667,,51.266666666666666,33.733333333333334,53.8,29.133333333333333,177.73333333333332,74.13333333333334,,,
2018-02-09 19:00:00,90.73333333333333,83.6,,53.86666666666667,33.53333333333333,50.6,31.133333333333333,213.4,63.266666666666666,,,
2018-02-09 19:15:00,88.13333333333334,94.0,,65.53333333333333,33.53333333333333,37.266666666666666,28.133333333333333,168.33333333333334,61.86666666666667,,,
2018-02-09 19:30:00,83.46666666666667,89.26666666666667,,65.26666666666667,43.666666666666664,40.46666666666667,28.866666666666667,145.53333333333333,61.93333333333333,,,
2018-02-09 19:45:00,80.6,87.0,,59.6,30.533333333333335,40.53333333333333,39.266666666666666,216.8,62.333333333333336,,,
2018-02-09 20:00:00,77.26666666666667,94.2,,45.0,28.666666666666668,33.53333333333333,36.06666666666667,229.33333333333334,70.33333333333333,,,
2018-02-09 20:15:00,74.06666666666666,127.33333333333333,,45.733333333333334,29.266666666666666,37.666666666666664,26.0,249.13333333333333,74.73333333333333,,,
2018-02-09 20:30:00,95.46666666666667,182.66666666666666,,41.53333333333333,28.666666666666668,61.0,25.0,231.13333333333333,96.8,,,
2018-02-09 20:45:00,138.86666666666667,196.53333333333333,,43.333333333333336,26.866666666666667,32.0,22.866666666666667,239.86666666666667,139.73333333333332,,,
2018-02-09 21:00:00,132.46666666666667,215.86666666666667,,47.266666666666666,26.733333333333334,30.533333333333335,20.866666666666667,265.2,110.93333333333334,,,
2018-02-09 21:15:00,120.66666666666667,244.8,,36.46666666666667,27.733333333333334,36.86666666666667,19.866666666666667,250.46666666666667,47.266666666666666,,,
2018-02-09 21:30:00,124.93333333333334,229.86666666666667,,32.333333333333336,32.266666666666666,41.2,19.2,243.6,35.93333333333333,,,
2018-02-09 21:45:00,123.33333333333333,267.06666666666666,,32.0,35.333333333333336,51.8,20.2,246.93333333333334,34.666666666666664,,,
2018-02-09 22:00:00,120.86666666666666,295.3333333333333,,32.53333333333333,35.4,28.533333333333335,24.333333333333332,241.2,33.2,,,
2018-02-09 22:15:00,119.6,288.53333333333336,,42.13333333333333,28.133333333333333,29.066666666666666,22.2,236.53333333333333,33.733333333333334,,,
2018-02-09 22:30:00,113.66666666666667,295.6,,32.2,26.733333333333334,26.466666666666665,24.066666666666666,241.0,35.93333333333333,,,
2018-02-09 22:45:00,123.33333333333333,233.0,,39.13333333333333,28.066666666666666,24.2,26.066666666666666,213.86666666666667,34.53333333333333,,,
2018-02-09 23:00:00,139.93333333333334,226.26666666666668,,47.86666666666667,28.066666666666666,26.133333333333333,28.133333333333333,220.33333333333334,32.666666666666664,,,
2018-02-09 23:15:00,142.6,245.33333333333334,,41.93333333333333,28.6,28.6,38.266666666666666,227.86666666666667,29.666666666666668,,,
2018-02-09 23:30:00,134.4,234.53333333333333,,35.86666666666667,25.066666666666666,63.266666666666666,37.0,201.86666666666667,26.866666666666667,,,
2018-02-09 23:45:00,109.13333333333334,193.4,,31.4,21.4,105.66666666666667,29.2,191.53333333333333,27.2,,,
2018-02-10 00:00:00,117.86666666666666,203.8,,33.0,20.6,86.53333333333333,26.933333333333334,195.53333333333333,26.666666666666668,,,
2018-02-10 00:15:00,117.66666666666667,191.33333333333334,,29.866666666666667,33.13333333333333,77.26666666666667,27.133333333333333,221.66666666666666,25.666666666666668,,,
