Date/Time,5260_O_USCL,5078_O_JNTP,6704_O_PERN,5870_O_ETNA,6170_O_OAKM,5284_O_MTLE,2711_O_MAAC,3446_O_OHBE,6530_O_CASC,2508_O_DOWN,4431_O_WBG,5571_O_BUFF,5624_O_BUFF,4351_O_DORM,7867_O_STDT
2020-09-05 15:00:00,359.7142857142857,215.64285714285714,0.0,,204.64285714285714,1508.7857142857142,114.14285714285714,166.64285714285714,2306.214285714286,218.78571428571428,159.35714285714286,160.28571428571428,160.28571428571428,176.71428571428572,
2020-09-05 15:15:00,348.8,289.93333333333334,0.0,,216.0,523.0,112.66666666666667,172.33333333333334,2118.6666666666665,941.9333333333333,161.0,174.06666666666666,174.06666666666666,173.73333333333332,
2020-09-05 15:30:00,352.0,231.2,0.0,,209.33333333333334,280.8666666666667,118.06666666666666,168.4,2232.0666666666666,275.4,157.06666666666666,156.2,156.2,178.2,
2020-09-05 15:45:00,344.0,234.73333333333332,0.0,,197.73333333333332,196.73333333333332,119.06666666666666,173.66666666666666,2526.0666666666666,215.66666666666666,159.4,207.13333333333333,207.13333333333333,173.4,
2020-09-05 16:00:00,343.8,271.06666666666666,0.0,,216.46666666666667,117.0,121.26666666666667,548.1333333333333,2581.8,187.33333333333334,155.86666666666667,161.93333333333334,161.93333333333334,185.06666666666666,
2020-09-05 16:15:00,343.93333333333334,321.3333333333333,0.0,,215.06666666666666,100.53333333333333,116.93333333333334,194.53333333333333,2686.6,181.13333333333333,152.73333333333332,168.13333333333333,168.13333333333333,177.2,
2020-09-05 16:30:00,333.4,291.2,0.0,,223.06666666666666,80.4,116.4,178.4,2472.4666666666667,174.53333333333333,198.6,171.26666666666668,171.26666666666668,178.66666666666666,
2020-09-05 16:45:00,338.73333333333335,291.73333333333335,0.0,,224.66666666666666,69.8,115.6,223.06666666666666,2873.9333333333334,182.6,155.4,178.6,178.6,176.93333333333334,
2020-09-05 17:00:00,331.53333333333336,278.6666666666667,0.0,,247.06666666666666,46.8,117.4,176.4,3142.866666666667,205.4,156.13333333333333,201.4,201.4,180.66666666666666,
2020-09-05 17:15:00,328.6666666666667,285.46666666666664,0.0,,220.46666666666667,52.4,118.86666666666666,197.2,2929.5333333333333,197.2,158.66666666666666,182.66666666666666,182.66666666666666,206.93333333333334,
2020-09-05 17:30:00,333.0,269.8666666666667,0.0,,230.8,28.266666666666666,119.33333333333333,202.8,2968.266666666667,181.8,171.26666666666668,174.73333333333332,174.73333333333332,199.73333333333332,
2020-09-05 17:45:00,331.93333333333334,258.53333333333336,0.0,,239.26666666666668,29.533333333333335,122.0,224.8,3117.4666666666667,188.93333333333334,170.86666666666667,180.73333333333332,180.73333333333332,199.4,
2020-09-05 18:00:00,341.46666666666664,254.66666666666666,0.0,,317.06666666666666,61.6,128.06666666666666,279.46666666666664,3139.5333333333333,198.6,174.8,242.33333333333334,242.33333333333334,205.4,
2020-09-05 18:15:00,339.93333333333334,265.8666666666667,0.0,,260.1333333333333,78.4,128.06666666666666,296.0,3333.0666666666666,208.06666666666666,189.6,241.0,241.0,216.46666666666667,
2020-09-05 18:30:00,334.3333333333333,268.93333333333334,0.0,,258.4,213.66666666666666,140.93333333333334,302.3333333333333,3570.6,227.4,175.6,191.8,191.8,188.93333333333334,
2020-09-05 18:45:00,342.8666666666667,259.4,0.0,,278.26666666666665,443.26666666666665,148.06666666666666,274.73333333333335,3724.266666666667,295.46666666666664,177.4,184.93333333333334,184.93333333333334,211.8,
2020-09-05 19:00:00,346.73333333333335,268.3333333333333,0.0,,257.8666666666667,261.26666666666665,156.33333333333334,243.33333333333334,4050.3333333333335,252.33333333333334,211.26666666666668,176.66666666666666,176.66666666666666,204.66666666666666,
2020-09-05 19:15:00,351.4,286.6666666666667,0.0,,287.6666666666667,266.1333333333333,163.4,225.46666666666667,4237.6,319.8,266.46666666666664,184.26666666666668,184.26666666666668,216.73333333333332,
2020-09-05 19:30:00,470.8,296.73333333333335,0.0,,284.8,284.2,175.46666666666667,252.33333333333334,4376.266666666666,298.6,286.93333333333334,197.6,197.6,224.2,
2020-09-05 19:45:00,2010.7333333333333,476.93333333333334,0.0,,285.8666666666667,287.6666666666667,179.33333333333334,284.92857142857144,4438.8,328.3333333333333,336.06666666666666,221.66666666666666,221.66666666666666,254.73333333333332,
2020-09-05 20:00:00,371.06666666666666,703.3333333333334,0.0,,299.46666666666664,612.0666666666667,184.8,288.73333333333335,4493.533333333334,301.26666666666665,229.26666666666668,239.66666666666666,239.66666666666666,303.73333333333335,
2020-09-05 20:15:00,354.8,372.8666666666667,0.0,,321.4,907.3333333333334,238.46666666666667,267.93333333333334,4501.0,273.6666666666667,213.73333333333332,309.6666666666667,309.6666666666667,348.46666666666664,
2020-09-05 20:30:00,356.3333333333333,317.0,0.0,,345.46666666666664,492.3333333333333,219.46666666666667,277.6666666666667,4536.933333333333,311.2,219.13333333333333,377.3333333333333,377.3333333333333,412.1333333333333,
2020-09-05 20:45:00,372.8,288.6666666666667,0.0,,346.8666666666667,439.4,390.46666666666664,267.46666666666664,4529.133333333333,362.4,218.73333333333332,435.3333333333333,435.3333333333333,468.6,
2020-09-05 21:00:00,354.93333333333334,1532.9333333333334,0.0,,377.6666666666667,520.0,312.2,270.2,4477.8,392.06666666666666,228.8,420.8666666666667,420.8666666666667,468.53333333333336,
2020-09-05 21:15:00,365.93333333333334,350.0,0.0,,455.6666666666667,585.1333333333333,332.06666666666666,254.93333333333334,4464.466666666666,403.26666666666665,232.4,442.8,442.8,534.8666666666667,
