Date/Time,1354_O_SHADY,1502_O_BLPK,2071_O_NOSD,4431_O_WBG,4530_O_CNTP,4574_O_MTLE,4816_O_GIBS,4839_O_RBN,4860_O_SQHN,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6517_O_USCL,6582_O_OAKD,6758_O_MTLE,6812_O_DUQS,7543_O_MILL,8941_O_MTLE
2018-04-22 15:00:00,,,,,,,,,,524.7857142857143,524.7857142857143,444.21428571428567,,444.21428571428567,,,329.2857142857143,521.9285714285714
2018-04-22 15:15:00,,,,,,,,,,524.4,524.4,461.8,,430.8,,,360.86666666666673,530.3333333333334
2018-04-22 15:30:00,,,,,,,,,,490.8,490.8,488.26666666666665,,424.9333333333333,,,411.9333333333333,527.0
2018-04-22 15:45:00,,,,,,,,,,485.9333333333333,485.9333333333333,449.66666666666674,,410.53333333333336,,,360.86666666666673,510.53333333333336
2018-04-22 16:00:00,,,,,,,,,,477.06666666666666,477.06666666666666,492.33333333333326,,396.53333333333336,,,363.26666666666665,496.13333333333327
2018-04-22 16:15:00,,,,,,,,,,474.86666666666673,474.86666666666673,435.4666666666666,,387.8,,,384.33333333333326,497.6
2018-04-22 16:30:00,,,,,,,,,,482.86666666666673,482.86666666666673,465.26666666666665,,385.13333333333327,,,378.2,508.6
2018-04-22 16:45:00,,,,,,,,,,467.26666666666665,467.26666666666665,417.73333333333335,,374.06666666666666,,,377.0,487.86666666666673
2018-04-22 17:00:00,,,,,,,,,,454.4,454.4,413.26666666666665,,383.86666666666673,,,381.8,467.26666666666665
2018-04-22 17:15:00,,,,,,,,,,452.66666666666674,452.66666666666674,423.66666666666674,,376.6,,,383.6,469.13333333333327
2018-04-22 17:30:00,,,,,,,,,,419.66666666666674,419.66666666666674,506.33333333333326,,380.53333333333336,,,396.9333333333333,478.73333333333335
2018-04-22 17:45:00,,,,369.125,,,,,,411.6,411.6,541.7333333333332,,387.06666666666666,,,420.4,489.66666666666674
2018-04-22 18:00:00,,,,383.4,,,,,,405.26666666666665,405.26666666666665,421.06666666666666,,392.13333333333327,,,423.4666666666666,481.13333333333327
2018-04-22 18:15:00,,,,386.86666666666673,,,,,,385.86666666666673,385.86666666666673,410.86666666666673,,382.86666666666673,,,493.06666666666666,470.0
2018-04-22 18:30:00,,,,387.6,,,,,,393.66666666666674,393.66666666666674,394.0,,389.86666666666673,,,511.53333333333336,478.13333333333327
2018-04-22 18:45:00,,,,442.26666666666665,,,,,,409.06666666666666,409.06666666666666,413.26666666666665,,407.73333333333335,,,567.4,481.13333333333327
2018-04-22 19:00:00,,,,462.66666666666674,,,,,,447.66666666666674,447.66666666666674,422.4,,412.73333333333335,,,759.7333333333332,495.0
2018-04-22 19:15:00,,,,598.8666666666667,,,,,,450.53333333333336,450.53333333333336,444.66666666666674,,420.66666666666674,,,1983.466666666667,530.7333333333332
2018-04-22 19:30:00,,,,718.8666666666667,,,,,,431.13333333333327,431.13333333333327,440.8,,449.4666666666666,,,1892.333333333333,523.0
2018-04-22 19:45:00,,,,467.86666666666673,,,,,,451.4666666666666,451.4666666666666,431.2,,442.6,,,1997.1333333333332,503.4666666666666
2018-04-22 20:00:00,,,,506.4,,,,,,452.13333333333327,452.13333333333327,459.4,,467.66666666666674,,,1625.6,525.1333333333333
2018-04-22 20:15:00,,,,572.8,,,,,,486.06666666666666,486.06666666666666,512.3333333333334,,571.0666666666667,,,1356.4,539.6
2018-04-22 20:30:00,,,,577.1333333333333,,,,,,507.0,507.0,548.3333333333334,,571.4666666666667,,,1335.0666666666666,557.5333333333333
2018-04-22 20:45:00,,,,654.8666666666667,,,,,,527.6,527.6,573.2,,586.6666666666666,,,1360.5333333333333,581.6666666666666
2018-04-22 21:00:00,,,,666.3333333333334,,,,,,537.0666666666667,537.0666666666667,713.1333333333333,,701.9333333333333,,,1184.6,589.6666666666666
2018-04-22 21:15:00,,,,686.4666666666667,,,,,,575.4,575.4,672.6666666666666,,853.2666666666668,,,1272.6,636.8666666666667
2018-04-22 21:30:00,,,,681.9333333333333,,,,,,720.9333333333333,720.9333333333333,642.5333333333333,,613.1333333333333,,,1299.6666666666667,704.1333333333333
2018-04-22 21:45:00,,,,676.8,,,,,,884.5333333333333,884.5333333333333,570.6666666666666,,605.8,,,1294.0666666666666,710.3333333333335
2018-04-22 22:00:00,,,,633.3333333333334,,,,,,760.4,760.4,579.5333333333333,,642.1333333333333,,,1312.2,900.8
2018-04-22 22:15:00,,,,659.0,,,,,,738.5333333333333,738.5333333333333,587.4,,627.9333333333333,,,1222.3333333333333,703.8666666666667
2018-04-22 22:30:00,,,,834.3333333333335,,,,,,958.8666666666667,958.8666666666667,598.6666666666666,,611.9333333333333,,,1160.5333333333333,771.4666666666667
2018-04-22 22:45:00,,,,854.7333333333332,,,,,,1497.333333333333,1497.333333333333,652.0,,611.1333333333333,,,1093.0666666666666,661.4
2018-04-22 23:00:00,,,,937.9333333333333,,,,,,747.6,747.6,644.6,,609.7333333333332,,,1081.5333333333333,631.8
2018-04-22 23:15:00,,,,986.9333333333333,,,,,,704.3333333333335,704.3333333333335,625.4666666666667,,643.7333333333332,,,1045.0666666666666,623.6
2018-04-22 23:30:00,,,,1104.0666666666666,,,,,,714.1333333333333,714.1333333333333,640.3333333333334,,659.5333333333333,,,1057.9333333333334,641.8666666666667
2018-04-22 23:45:00,,,,1333.9333333333334,,,,,,1067.1333333333334,1067.1333333333334,639.9333333333333,,695.4,,,1109.4,722.4666666666667
