Date/Time,1502_O_BLPK,1637_O_BELL,2071_O_NOSD,2130_O_MTOV,2281_O_HiPK,2535_O_RGSQ,3555_O_SCLL,3798_O_BRKN,4363_O_SQHS,4431_O_WBG,4530_O_CNTP,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,5761_O_SOSD,6360_O_PTBR,7543_O_MILL,8183_O_MILL,8304_O_SQHS,8356_O_OHRA,8941_O_MTLE
2017-10-01 15:00:00,,,350.71428571428567,,423.9285714285714,,214.0,,,149.64285714285714,127.5,167.92857142857142,167.92857142857142,,,,162.42857142857142,224.0,279.92857142857144,,
2017-10-01 15:15:00,,,338.6666666666667,,451.8,,199.26666666666668,,,165.26666666666668,494.06666666666666,192.8,192.8,,,,162.26666666666668,209.46666666666667,350.2,,
2017-10-01 15:30:00,,,360.53333333333336,,490.66666666666674,,211.8,,,162.4,184.2,203.2,203.2,,,,168.33333333333334,210.26666666666668,350.13333333333327,,
2017-10-01 15:45:00,,,370.06666666666666,,407.33333333333326,,210.4,,,152.8,175.0,210.7333333333333,210.7333333333333,,,,183.86666666666667,206.8,304.06666666666666,,
2017-10-01 16:00:00,,,385.4666666666666,,401.06666666666666,,202.46666666666667,,,186.13333333333333,179.66666666666663,206.13333333333333,206.13333333333333,,,,225.0,208.7333333333333,326.2,,
2017-10-01 16:15:00,,,378.4,,413.86666666666673,,205.86666666666667,,,162.93333333333334,179.0,239.0,239.0,,,,232.13333333333333,209.26666666666668,303.0,,
2017-10-01 16:30:00,,,345.06666666666666,,426.9333333333333,,199.53333333333333,,,158.13333333333333,163.86666666666667,243.26666666666668,243.26666666666668,,,,227.26666666666668,223.33333333333331,348.8,,
2017-10-01 16:45:00,,,364.66666666666674,,405.33333333333326,,215.13333333333333,,,166.53333333333333,178.53333333333333,243.33333333333331,243.33333333333331,,,,224.8,219.4,288.2,,
2017-10-01 17:00:00,,,363.53333333333336,,456.2,,205.46666666666667,,,178.6,184.9333333333333,282.8,282.8,,,,222.8,227.9333333333333,271.8,,
2017-10-01 17:15:00,,,376.9333333333333,,382.4666666666666,,237.2,,,163.53333333333333,637.8,219.33333333333331,219.33333333333331,,,,232.9333333333333,231.33333333333331,268.53333333333336,,
2017-10-01 17:30:00,,,406.73333333333335,,396.33333333333326,,235.2,,,239.7333333333333,179.73333333333332,230.8,230.8,,,,204.4,238.8,266.53333333333336,,
2017-10-01 17:45:00,,,522.1333333333333,,363.86666666666673,,223.4,,,273.3333333333333,260.53333333333336,231.46666666666667,231.46666666666667,,,,219.2,246.06666666666663,267.2,,
2017-10-01 18:00:00,,,644.0,,379.26666666666665,,251.13333333333333,,,504.4666666666666,235.7333333333333,269.6,269.6,,,,299.73333333333335,247.46666666666667,299.26666666666665,,
2017-10-01 18:15:00,,,775.2666666666668,,471.53333333333336,,260.3333333333333,,,419.66666666666674,190.66666666666663,282.3333333333333,282.3333333333333,,,,953.0666666666667,296.8,289.4,,
2017-10-01 18:30:00,,,1187.9333333333334,,411.66666666666674,,306.6,,,2275.0,193.9333333333333,283.1333333333333,283.1333333333333,,,,1357.0,340.26666666666665,320.4,,
2017-10-01 18:45:00,,,914.4,,403.0,,274.26666666666665,,,2664.2,241.33333333333331,277.0,277.0,,,,946.3333333333335,417.13333333333327,367.0,,
2017-10-01 19:00:00,,,989.6666666666665,,565.2,,304.93333333333334,,,3282.6,771.9333333333333,278.6,278.6,,,,1230.0666666666666,387.6,488.73333333333335,,
2017-10-01 19:15:00,,,950.5333333333333,,475.4666666666666,,411.33333333333326,,,3598.866666666667,817.4,306.46666666666664,306.46666666666664,,,,1145.8666666666666,463.73333333333335,522.5333333333333,,
2017-10-01 19:30:00,,,1043.6666666666667,,490.13333333333327,,316.93333333333334,,,1257.1333333333334,647.5333333333333,328.8,328.8,,,,952.8666666666667,754.8,522.9333333333333,,
2017-10-01 19:45:00,,,1034.6666666666667,,654.4666666666667,,362.9333333333333,,,899.6666666666665,284.4,342.46666666666664,342.46666666666664,,,,728.4666666666667,809.2666666666668,489.33333333333326,,560.6666666666666
2017-10-01 20:00:00,,,1061.2666666666667,,504.6,,508.26666666666665,,,779.2666666666668,309.3333333333333,371.33333333333326,371.33333333333326,,,,762.8666666666667,712.8666666666667,513.6666666666666,,580.0666666666667
2017-10-01 20:15:00,,,955.4666666666667,,462.06666666666666,,562.2,,,1194.6,281.8,425.26666666666665,425.26666666666665,,,,819.4,730.8,490.66666666666674,,658.9333333333333
2017-10-01 20:30:00,,,1054.2666666666667,,428.8,,591.9333333333333,,,1367.6,315.73333333333335,630.2,630.2,,,,821.8666666666667,823.1333333333333,505.33333333333326,,761.3333333333335
2017-10-01 20:45:00,,,1131.8666666666666,,503.66666666666674,,531.2,,,1116.1333333333334,327.8666666666667,772.2666666666668,772.2666666666668,,,,880.4,748.0666666666667,470.4666666666666,,779.6666666666665
2017-10-01 21:00:00,,,1129.2666666666667,,534.6666666666666,,560.5333333333333,,,835.6666666666665,489.06666666666666,601.8,601.8,,,,938.2,912.9333333333333,453.6,,753.6
2017-10-01 21:15:00,,,1080.4,,816.0,,695.5333333333333,,,789.3333333333335,340.1333333333333,582.0,582.0,,,,1106.9333333333334,877.4666666666667,474.73333333333335,,843.2
2017-10-01 21:30:00,,,1052.4666666666667,,2300.4,,787.8,,,1383.9333333333334,519.4,631.2,631.2,,,,1101.8666666666666,833.8,484.06666666666666,,897.7333333333332
