Date/Time,1441_O_CARN,1502_O_BLPK,2071_O_NOSD,3108_O_STDT,3259_O_BRAD,3555_O_SCLL,3732_O_BCVW,4387_O_EDWD,4431_O_WBG,4530_O_CNTP,4533_O_ALPK,5052_O_PennHills,5060_O_LWCV,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6030_O_BELL,6560_O_MTLE,6582_O_OAKD,7543_O_MILL,8100_O_PTBZ,8941_O_MTLE
2018-03-22 15:00:00,,,494.4285714285714,,,594.8571428571429,,,636.6428571428571,177.21428571428572,,,,634.7142857142858,634.7142857142858,409.9285714285714,,,346.6428571428572,480.71428571428567,,
2018-03-22 15:15:00,,,409.9333333333333,,,658.0,,,594.2,185.06666666666663,,,,661.8,661.8,355.86666666666673,,,355.26666666666665,577.7333333333332,,
2018-03-22 15:30:00,,,406.66666666666674,,,575.1333333333333,,,582.7333333333332,201.7333333333333,,,,551.2,551.2,358.6,,,353.4,877.2666666666668,,
2018-03-22 15:45:00,,,361.8,,,570.7333333333332,,,551.3333333333334,203.2,,,,455.33333333333326,455.33333333333326,325.3333333333333,,,354.6,858.5333333333333,,
2018-03-22 16:00:00,,,439.66666666666674,,,575.0666666666667,,,609.1333333333333,177.0,,,,403.53333333333336,403.53333333333336,334.0,,,372.6,500.4666666666666,,
2018-03-22 16:15:00,,,485.4,,,509.4666666666666,,,488.66666666666674,190.0,,,,439.4,439.4,324.8,,,408.73333333333335,494.4,,
2018-03-22 16:30:00,,,565.9333333333333,,,457.53333333333336,,,438.6,193.06666666666663,,,,438.9333333333333,438.9333333333333,346.06666666666666,,,407.0,553.9333333333333,,
2018-03-22 16:45:00,,,519.3333333333334,,,407.33333333333326,,,471.6,221.4,,,,457.26666666666665,457.26666666666665,303.2,,,414.33333333333326,715.0666666666667,,
2018-03-22 17:00:00,,,518.6666666666666,,,423.2,,,512.0,206.53333333333333,,,,472.06666666666666,472.06666666666666,321.4,,,404.2,1473.333333333333,,
2018-03-22 17:15:00,,,534.6666666666666,,,415.66666666666674,,,463.8,220.2,,,,472.66666666666674,472.66666666666674,360.13333333333327,,,442.8,799.3333333333335,,
2018-03-22 17:30:00,,,807.5333333333333,,,471.53333333333336,,,442.73333333333335,226.53333333333333,,,,458.6,458.6,397.6,,,453.53333333333336,1252.4666666666667,,
2018-03-22 17:45:00,,,700.0666666666667,,,457.4,,,481.4,296.46666666666664,,,,340.53333333333336,340.53333333333336,387.06666666666666,,,507.6,773.0666666666667,,
2018-03-22 18:00:00,,,706.2666666666668,,,446.66666666666674,,,398.8,328.4,,,,336.73333333333335,336.73333333333335,426.66666666666674,,,546.6,722.2,,
2018-03-22 18:15:00,,,772.3333333333335,,,425.0,,,408.6,422.66666666666674,,,,347.6,347.6,402.26666666666665,,,581.9333333333333,973.4666666666667,,
2018-03-22 18:30:00,,,837.2,,,356.7333333333333,,,408.4,475.33333333333326,,,,386.86666666666673,386.86666666666673,425.4,,,607.4,841.4666666666667,,
2018-03-22 18:45:00,,,809.5333333333333,,,326.53333333333336,,,395.06666666666666,547.3333333333334,,,,370.4,370.4,452.53333333333336,,,625.0666666666667,894.0666666666667,,
2018-03-22 19:00:00,,,864.4666666666667,,,309.73333333333335,,,819.4666666666667,651.0,,,,388.86666666666673,388.86666666666673,461.9333333333333,,,649.2,1975.2,,
2018-03-22 19:15:00,,,1055.7333333333333,,,326.73333333333335,,,860.2,607.2,,,,378.86666666666673,378.86666666666673,509.33333333333326,,,673.8666666666667,1353.4666666666667,,
2018-03-22 19:30:00,,,1222.1333333333334,,,365.33333333333326,,,585.0,598.8666666666667,,,,373.8,373.8,567.6666666666666,,,731.3333333333335,1603.8,,
2018-03-22 19:45:00,,,1241.7333333333333,,,383.86666666666673,,,411.6,619.3333333333334,,,,389.66666666666674,389.66666666666674,620.6666666666666,,,766.2666666666668,3713.866666666667,,
2018-03-22 20:00:00,,,1261.2666666666667,,,339.53333333333336,,,545.3333333333334,678.7333333333332,,,,404.73333333333335,404.73333333333335,621.2,,,821.6,4345.733333333334,,
2018-03-22 20:15:00,,,1407.1333333333334,,,357.9333333333333,,,492.73333333333335,852.2,,,,423.73333333333335,423.73333333333335,641.2,,,820.6666666666665,2308.4,,
2018-03-22 20:30:00,,,1597.2,,,372.26666666666665,,,515.2666666666668,1139.2,,,,450.6,450.6,675.2,,,829.4,4304.466666666666,,
2018-03-22 20:45:00,,,1694.6,,,394.66666666666674,,,833.1333333333333,884.8666666666667,,,,467.13333333333327,467.13333333333327,707.0666666666667,,,853.1333333333333,2119.133333333333,,
2018-03-22 21:00:00,,,1747.0666666666666,,,460.53333333333336,,,770.3333333333335,922.0666666666667,,,,514.8,514.8,752.4,,,878.2666666666668,1530.0,,
2018-03-22 21:15:00,,,1967.4,,,577.7333333333332,,,901.2666666666668,980.3333333333335,,,,547.8,547.8,852.8666666666667,,,907.9333333333333,1680.666666666667,,
2018-03-22 21:30:00,,,1799.8,,,600.0,,,773.4666666666667,973.1333333333333,,,,587.9333333333333,587.9333333333333,842.6,,,925.2,1383.9333333333334,,
2018-03-22 21:45:00,,,2123.4666666666667,,,574.6666666666666,,,775.8,928.3333333333335,,,,650.4,650.4,861.3333333333335,,,1004.0,1411.0666666666666,,
2018-03-22 22:00:00,,,1966.466666666667,,,608.0,,,1258.0,793.3333333333335,,,,666.4666666666667,666.4666666666667,887.4,,,1079.8666666666666,1532.0666666666666,,
