Date/Time,5571_O_BUFF,5624_O_BUFF,4482_O_VLVW,8941_O_MTLE,3555_O_SCLL,4431_O_WBG,7543_O_MILL,1404_O_TROY,6809_O_SQHS,8183_O_MILL,8698_O_NOSD,2071_O_NOSD,1502_O_BLPK,7870_O_MILL,6745_O_STDT,5679_O_BLOO,8109_O_FXCP,1369_O_GIBS,2281_O_HiPK
2017-08-04 15:00:00,39.285714285714285,39.285714285714285,,,70.21428571428571,57.642857142857146,119.57142857142857,,79.14285714285714,,55.714285714285715,35.92857142857143,,,,47.57142857142857,0.0,,21.142857142857142
2017-08-04 15:15:00,36.8,36.8,,,46.8,51.93333333333333,54.8,,47.6,,43.666666666666664,33.4,,,,39.86666666666667,0.0,,19.0
2017-08-04 15:30:00,33.333333333333336,33.333333333333336,,,36.06666666666667,47.93333333333333,54.2,,53.93333333333333,,39.0,32.2,,,,37.06666666666667,0.0,,16.666666666666668
2017-08-04 15:45:00,28.466666666666665,28.466666666666665,,,30.866666666666667,47.333333333333336,44.06666666666667,,47.666666666666664,,30.6,36.46666666666667,,,,34.333333333333336,0.0,,14.4
2017-08-04 16:00:00,27.066666666666666,27.066666666666666,,,29.733333333333334,42.266666666666666,37.0,,46.06666666666667,,25.8,36.666666666666664,,,,33.6,0.0,,11.266666666666667
2017-08-04 16:15:00,26.2,26.2,,,31.0,35.0,39.13333333333333,,40.53333333333333,,27.333333333333332,37.333333333333336,,,,33.2,0.0,,10.266666666666667
2017-08-04 16:30:00,27.866666666666667,27.866666666666667,,,29.066666666666666,36.86666666666667,36.2,,38.13333333333333,,23.733333333333334,34.4,,,,28.933333333333334,0.0,,9.666666666666666
2017-08-04 16:45:00,31.4,31.4,,,29.866666666666667,35.93333333333333,32.733333333333334,,38.93333333333333,,25.533333333333335,37.733333333333334,,,,31.466666666666665,0.0,,11.0
2017-08-04 17:00:00,32.733333333333334,32.733333333333334,,,30.6,43.333333333333336,35.93333333333333,,39.53333333333333,,23.4,37.8,,,,31.266666666666666,0.0,,11.333333333333334
2017-08-04 17:15:00,28.4,28.4,,,30.733333333333334,36.46666666666667,37.333333333333336,,38.6,,22.333333333333332,37.53333333333333,,,,31.4,0.0,,9.8
2017-08-04 17:30:00,31.733333333333334,31.733333333333334,,,31.866666666666667,48.53333333333333,38.86666666666667,,41.733333333333334,,20.8,39.06666666666667,,,,30.333333333333332,0.0,,7.8
2017-08-04 17:45:00,34.2,34.2,,,32.8,77.66666666666667,35.13333333333333,,43.86666666666667,,21.933333333333334,40.4,,,,30.933333333333334,0.0,,8.4
2017-08-04 18:00:00,32.4,32.4,,,33.6,50.2,38.0,,41.8,,27.8,39.6,,,,33.4,0.0,,8.933333333333334
2017-08-04 18:15:00,33.93333333333333,33.93333333333333,,,33.8,98.2,38.06666666666667,,44.4,,29.466666666666665,37.93333333333333,,,,32.86666666666667,0.0,,10.666666666666666
2017-08-04 18:30:00,34.06666666666667,34.06666666666667,,,32.86666666666667,85.6,37.53333333333333,,42.266666666666666,,28.466666666666665,34.733333333333334,,,,32.8,0.0,,11.0
2017-08-04 18:45:00,34.333333333333336,34.333333333333336,,,31.2,59.0,38.666666666666664,,41.8,,32.666666666666664,37.6,,,,45.86666666666667,0.0,,10.4
2017-08-04 19:00:00,31.2,31.2,,,33.53333333333333,48.266666666666666,38.0,,44.733333333333334,,31.666666666666668,58.06666666666667,,,,34.46666666666667,0.0,,12.933333333333334
2017-08-04 19:15:00,29.933333333333334,29.933333333333334,,,34.13333333333333,48.6,37.733333333333334,,44.266666666666666,,31.6,71.8,,,,33.13333333333333,0.0,,11.333333333333334
2017-08-04 19:30:00,36.8,36.8,,,35.666666666666664,44.2,36.93333333333333,,55.8,,33.6,47.93333333333333,,,,30.0,0.0,,10.866666666666667
2017-08-04 19:45:00,36.6,36.6,,,30.2,37.733333333333334,35.266666666666666,,60.2,,31.0,46.8,,,,31.933333333333334,0.0,,15.4
2017-08-04 20:00:00,45.333333333333336,45.333333333333336,,,35.266666666666666,73.46666666666667,61.6,,58.46666666666667,,57.666666666666664,46.333333333333336,,,,38.06666666666667,0.0,,14.8
2017-08-04 20:15:00,46.666666666666664,46.666666666666664,,,39.53333333333333,57.733333333333334,228.53333333333333,,99.73333333333333,,91.13333333333334,48.13333333333333,,,,54.733333333333334,0.0,,15.733333333333333
2017-08-04 20:30:00,42.53333333333333,42.53333333333333,,,41.333333333333336,48.733333333333334,127.13333333333334,,95.2,,46.13333333333333,51.93333333333333,,,,37.266666666666666,0.0,,15.266666666666667
2017-08-04 20:45:00,38.93333333333333,38.93333333333333,,,38.8,54.46666666666667,40.4,,49.2,,42.8,53.2,,,,30.333333333333332,0.0,,14.866666666666667
2017-08-04 21:00:00,42.666666666666664,42.666666666666664,,,38.733333333333334,60.93333333333333,43.8,,48.93333333333333,,45.0,50.46666666666667,,,,35.2,0.0,,13.266666666666667
2017-08-04 21:15:00,43.333333333333336,43.333333333333336,,,42.46666666666667,59.4,45.46666666666667,,42.4,,37.333333333333336,55.266666666666666,,,,37.666666666666664,0.0,,12.733333333333333
2017-08-04 21:30:00,45.333333333333336,45.333333333333336,,,43.13333333333333,53.86666666666667,64.53333333333333,,40.333333333333336,,43.4,57.2,,,,34.2,0.0,,13.466666666666667
2017-08-04 21:45:00,43.86666666666667,43.86666666666667,,,57.733333333333334,54.46666666666667,69.6,,44.6,,41.86666666666667,61.13333333333333,,,,36.266666666666666,0.0,,11.8
