Date/Time,1128_O_HIPK,2071_O_NOSD,2348_O_HILL,2610_O_INGM,2759_O_BRHT,3555_O_SCLL,4431_O_WBG,4514_O_MCCA,5182_O_DORM,5571_O_BUFF,5593_O_WLIB,5624_O_BUFF,6582_O_OAKD,7112_O_FRHL,7783_O_HZWD,8637_O_HIPK,8798_O_FRHL,8941_O_MTLE
2018-09-15 15:00:00,,229.8,,,312.2,0.0,524.5333333333333,,,,,,252.14285714285717,,,,,193.78571428571428
2018-09-15 15:15:00,,225.66666666666663,,,296.6666666666667,0.0,522.7333333333332,,,,,,239.13333333333333,,,,,191.86666666666667
2018-09-15 15:30:00,,224.8,,,327.6666666666667,0.0,515.2,,,,,,230.2,,,,,182.46666666666667
2018-09-15 15:45:00,,243.33333333333331,,,311.4,0.0,473.0,,,,,,212.2,,,,,161.66666666666666
2018-09-15 16:00:00,,236.8,,,283.73333333333335,0.0,499.13333333333327,,,,,,229.06666666666663,,,,,175.53333333333333
2018-09-15 16:15:00,,216.06666666666663,,,312.3333333333333,0.0,496.86666666666673,,,,,,238.9333333333333,,,,,191.06666666666663
2018-09-15 16:30:00,,220.4,,,329.4,0.0,495.8,,,295.14285714285717,,295.14285714285717,239.8,,,,,191.46666666666667
2018-09-15 16:45:00,,282.3333333333333,,,376.6,0.0,518.9333333333333,,,239.06666666666663,,239.06666666666663,241.13333333333333,,,,,197.86666666666667
2018-09-15 17:00:00,,432.4666666666666,,,414.4,0.0,499.73333333333335,,,248.33333333333331,,248.33333333333331,232.9333333333333,,,,,213.7333333333333
2018-09-15 17:15:00,,288.26666666666665,,,375.26666666666665,0.0,661.1333333333333,,,248.9333333333333,,248.9333333333333,248.26666666666668,,,,,211.8
2018-09-15 17:30:00,,234.4,,,356.13333333333327,0.0,712.5333333333333,,,260.8666666666667,,260.8666666666667,289.4,,,,,202.2
2018-09-15 17:45:00,,234.8,,,365.2,0.0,682.0666666666667,,,266.1333333333333,,266.1333333333333,246.66666666666663,,,,,200.46666666666667
2018-09-15 18:00:00,,256.3333333333333,,,343.4,0.0,651.5333333333333,,,283.2,,283.2,258.2,,,,,222.0
2018-09-15 18:15:00,,283.93333333333334,,,331.06666666666666,0.0,634.4666666666667,,,290.6,,290.6,275.93333333333334,,,,,241.26666666666668
2018-09-15 18:30:00,,227.4,,,351.26666666666665,0.0,643.9333333333333,,,312.06666666666666,,312.06666666666666,275.73333333333335,,,,,449.2
2018-09-15 18:45:00,,312.3333333333333,,,342.26666666666665,0.0,661.5333333333333,,,303.26666666666665,,303.26666666666665,281.3333333333333,,,,,722.6
2018-09-15 19:00:00,,283.3333333333333,,,410.26666666666665,0.0,634.0666666666667,,,313.1333333333333,,313.1333333333333,274.93333333333334,,,,,597.2666666666668
2018-09-15 19:15:00,,350.4,,,371.4666666666666,0.0,617.2,,,313.0,,313.0,342.8666666666667,,,,,578.3333333333334
2018-09-15 19:30:00,,426.33333333333326,,,398.9333333333333,0.0,562.2,,,315.26666666666665,,315.26666666666665,367.8,,,,,545.4
2018-09-15 19:45:00,,528.8,,,402.26666666666665,0.0,531.8666666666667,,,329.06666666666666,,329.06666666666666,355.7333333333333,,,,,509.13333333333327
2018-09-15 20:00:00,,496.0,,,423.4,0.0,540.6666666666666,,,345.53333333333336,,345.53333333333336,449.6,,,,,507.9333333333333
2018-09-15 20:15:00,,490.4,,,521.2666666666668,0.0,541.8666666666667,,,350.06666666666666,,350.06666666666666,493.2,,,,,516.5333333333333
2018-09-15 20:30:00,,448.2,,,535.3333333333334,0.0,558.5333333333333,,,346.86666666666673,,346.86666666666673,545.2,,,,,514.2666666666668
2018-09-15 20:45:00,,426.8,,,1311.4666666666667,0.0,577.4666666666667,,,361.4666666666666,,361.4666666666666,601.2666666666668,,,,,476.4
2018-09-15 21:00:00,,437.73333333333335,,,3263.266666666667,0.0,600.4666666666667,,,382.06666666666666,,382.06666666666666,651.3333333333334,,,,,467.0
2018-09-15 21:15:00,,443.06666666666666,,,4566.6,0.0,630.5333333333333,,,399.73333333333335,,399.73333333333335,662.8666666666667,,,,,481.8
2018-09-15 21:30:00,,516.2,,,2406.866666666667,0.0,643.1333333333333,,,462.8,,462.8,672.6,,,,,525.1333333333333
2018-09-15 21:45:00,,583.2666666666668,,,1166.5333333333333,0.0,642.2,,,510.0,,510.0,700.2,,,,,545.0
2018-09-15 22:00:00,,497.26666666666665,,,845.8666666666667,0.0,701.4666666666667,,,836.0,,836.0,701.2,,,,,542.6666666666666
2018-09-15 22:15:00,,487.2,,,855.6666666666665,0.0,759.8,,,1511.466666666667,,1511.466666666667,779.8,,,,,536.8
2018-09-15 22:30:00,,522.0,,,857.5333333333333,0.0,761.2,,,485.4,,485.4,1203.8,,,,,563.8
2018-09-15 22:45:00,,529.4,,,731.5333333333333,0.0,824.4666666666667,,,462.26666666666665,,462.26666666666665,1216.4,,,,,609.1333333333333
2018-09-15 23:00:00,,510.2,,,768.1333333333333,0.0,914.2666666666668,,,459.53333333333336,,459.53333333333336,1453.533333333333,,,,,643.3333333333334
2018-09-15 23:15:00,,519.4666666666667,,,749.3333333333335,0.0,916.9333333333333,,,530.3333333333334,,530.3333333333334,1214.6666666666667,,,,,634.6
2018-09-15 23:30:00,,560.2,,,787.1333333333333,0.0,929.2666666666668,,,600.2,,600.2,1234.5333333333333,,,,,676.6666666666666
2018-09-15 23:45:00,,583.8666666666667,,,826.0,0.0,935.9333333333333,,,555.2,,555.2,1452.533333333333,,,,,690.5333333333333
