Date/Time,7924_O_DMBR,2366_O_DMBR,4074_O_SQHN,3671_O_LGNR,5712_O_IOCY_IO,2239_O_MRVL,4876_O_DMBR,3844_O_FRHL,2020_O_CASM_CA,1039_O_BRHT,6393_O_MRVL,5012_O_PTBR,7209_O_MTLE,8014_O_MWSH,1384_O_KSLW_KS,6712_O_MNNH_MN,4674_O_GNFD,7993_O_WLKG,7710_O_ELIB,8750_O_DOWN,4431_O_WBG,6132_O_MONG,8508_O_XXXX,4436_O_XXXX
2022-03-01 15:00:00,37.0,31.285714285714285,,45.0,51.07142857142857,44.57142857142857,189.85714285714286,41.0,78.78571428571429,79.28571428571429,47.5,47.42857142857143,32.785714285714285,63.214285714285715,96.85714285714286,57.92857142857143,45.785714285714285,40.357142857142854,64.71428571428571,,28.75,38.285714285714285,,
2022-03-01 15:15:00,31.0,29.533333333333335,,44.733333333333334,45.2,38.93333333333333,133.66666666666666,41.53333333333333,71.53333333333333,55.86666666666667,47.333333333333336,45.666666666666664,32.666666666666664,48.93333333333333,98.8,61.0,44.46666666666667,50.8,60.2,,29.133333333333333,36.0,,
2022-03-01 15:30:00,32.06666666666667,29.133333333333333,,44.53333333333333,32.86666666666667,40.333333333333336,201.93333333333334,42.333333333333336,66.53333333333333,59.666666666666664,48.2,45.0,31.866666666666667,50.266666666666666,102.73333333333333,60.333333333333336,46.4,43.2,66.66666666666667,,30.066666666666666,34.266666666666666,,
2022-03-01 15:45:00,31.4,28.6,,51.0,35.93333333333333,42.666666666666664,223.46666666666667,42.733333333333334,76.6,75.33333333333333,52.6,48.666666666666664,31.133333333333333,50.666666666666664,91.0,60.2,44.93333333333333,43.333333333333336,68.6,,25.533333333333335,32.06666666666667,,
2022-03-01 16:00:00,29.866666666666667,28.0,,38.13333333333333,35.8,42.13333333333333,231.46666666666667,44.733333333333334,95.8,63.86666666666667,49.666666666666664,45.13333333333333,29.533333333333335,50.06666666666667,84.93333333333334,66.93333333333334,40.666666666666664,40.93333333333333,66.53333333333333,,29.666666666666668,32.06666666666667,,
2022-03-01 16:15:00,28.2,25.6,,35.8,41.2,35.53333333333333,218.33333333333334,44.8,73.8,47.2,52.733333333333334,46.666666666666664,32.333333333333336,50.0,79.73333333333333,70.66666666666667,48.733333333333334,39.4,55.266666666666666,,34.0,31.466666666666665,,
2022-03-01 16:30:00,28.8,27.466666666666665,,39.666666666666664,29.066666666666666,26.866666666666667,139.06666666666666,49.46666666666667,57.13333333333333,48.2,53.8,52.06666666666667,33.666666666666664,49.733333333333334,70.8,72.33333333333333,43.333333333333336,46.0,58.333333333333336,,28.2,33.333333333333336,,
2022-03-01 16:45:00,32.93333333333333,25.466666666666665,,38.86666666666667,62.333333333333336,23.866666666666667,210.86666666666667,48.266666666666666,52.666666666666664,43.733333333333334,53.53333333333333,52.2,38.2,53.13333333333333,77.86666666666666,74.93333333333334,45.666666666666664,52.13333333333333,56.8,,25.866666666666667,32.333333333333336,,
2022-03-01 17:00:00,29.933333333333334,27.066666666666666,,40.93333333333333,62.53333333333333,23.533333333333335,337.90909090909093,45.0,52.86666666666667,36.733333333333334,53.53333333333333,50.666666666666664,40.666666666666664,57.46666666666667,77.0,73.46666666666667,52.266666666666666,49.93333333333333,46.46666666666667,,26.133333333333333,34.6,,
2022-03-01 17:15:00,35.53333333333333,29.733333333333334,,42.06666666666667,62.13333333333333,27.733333333333334,,38.2,49.266666666666666,32.93333333333333,55.666666666666664,42.666666666666664,40.13333333333333,48.266666666666666,85.26666666666667,77.73333333333333,46.93333333333333,40.733333333333334,37.6,,25.733333333333334,37.6,,
2022-03-01 17:30:00,39.13333333333333,29.8,,39.6,118.26666666666667,31.733333333333334,,34.13333333333333,134.8,29.8,47.8,34.93333333333333,38.0,49.6,99.6,80.46666666666667,41.46666666666667,37.86666666666667,33.6,,63.666666666666664,37.4,,
2022-03-01 17:45:00,35.333333333333336,31.4,,40.266666666666666,81.26666666666667,24.666666666666668,,28.0,113.73333333333333,31.0,35.46666666666667,34.13333333333333,35.93333333333333,42.266666666666666,102.2,91.46666666666667,34.4,32.266666666666666,33.46666666666667,,36.93333333333333,36.13333333333333,,
2022-03-01 18:00:00,34.8,31.666666666666668,,40.46666666666667,70.66666666666667,18.933333333333334,,30.2,75.86666666666666,36.0,37.333333333333336,38.6,33.53333333333333,37.0,124.46666666666667,99.93333333333334,34.93333333333333,32.714285714285715,37.93333333333333,,31.133333333333333,37.06666666666667,,
2022-03-01 18:15:00,36.4,32.333333333333336,,39.13333333333333,195.06666666666666,18.8,,34.733333333333334,90.86666666666666,38.53333333333333,38.8,40.2,32.733333333333334,50.8,121.86666666666666,125.6,37.4,33.86666666666667,41.53333333333333,,29.666666666666668,34.93333333333333,,
2022-03-01 18:30:00,35.06666666666667,34.8,,37.86666666666667,123.2,21.0,,35.13333333333333,99.06666666666666,36.53333333333333,40.46666666666667,39.46666666666667,35.6,46.0,213.73333333333332,129.0,46.53333333333333,34.8,39.333333333333336,,34.333333333333336,55.4,,
2022-03-01 18:45:00,35.266666666666666,36.46666666666667,,38.46666666666667,160.66666666666666,19.466666666666665,,32.6,105.93333333333334,46.266666666666666,36.06666666666667,36.2,36.333333333333336,43.2,279.93333333333334,132.46666666666667,41.93333333333333,32.733333333333334,37.0,,59.4,50.6,,
