Date/Time,1272_O_SQHL,4634_O_NOSD,7984_O_PLHL,5907_O_EDWD,2467_O_BAVN,1124_O_PLUM,5093_O_MCCA,4924_O_WOAK,2748_O_ALPK,5166_O_AMBR,7896_O_PTBZ,4431_O_WBG,7872_O_SPHL
2026-02-14 9:30:00,,,,,3910.266667,,4025.866667,,,,,,
2026-02-14 9:45:00,,,,,3637.533333,,3917.733333,,,,,,
2026-02-14 10:00:00,,,,,3560.6,,3853.2,,,,2946.875,,
2026-02-14 10:15:00,,,,,3671.266667,,3821.733333,,,,3005.2,,
2026-02-14 10:30:00,,,,,3595.466667,,3761.866667,,,,2745.6,,
2026-02-14 10:45:00,,,,,3729.533333,,3667,,,,2805.133333,,
2026-02-14 11:00:00,,,,,3743.333333,,3662.4,,,,2830.4,,
2026-02-14 11:15:00,,,,,3641.933333,,3605.933333,,,,2790.733333,,
2026-02-14 11:30:00,,,,,3556.066667,,3576.8,,,,2764.266667,,
2026-02-14 11:45:00,,,,,3421.466667,,3520.4,,,,2750.266667,,
2026-02-14 12:00:00,,,,,3334.533333,,3523.6,,,,2793.533333,,
2026-02-14 12:15:00,,,,,3237.266667,,3513.4,,,,2798.6,,
2026-02-14 12:30:00,,,,,3199.133333,,3522.266667,,,,2826.933333,,
2026-02-14 12:45:00,,,,,3196.733333,,3480.866667,,,,2844.666667,,
2026-02-14 13:00:00,,,,,3195.266667,,3423.666667,,,,2976.333333,,
2026-02-14 13:15:00,,,,,3210.533333,,3354.133333,,,,3028.8,,
2026-02-14 13:30:00,,,,,3143.733333,,3407.266667,,,,3033.933333,,
2026-02-14 13:45:00,,,,,3171.066667,,3314.933333,,,,3091.866667,,
2026-02-14 14:00:00,,,,,3088.6,,3237.533333,,,,3108.666667,,
2026-02-14 14:15:00,,,,,3064.533333,,3285.866667,,,,3029.333333,,
2026-02-14 14:30:00,,,,,2997.066667,,3339.2,,,,2969.933333,,
2026-02-14 14:45:00,,,,,2896.666667,,3267.6,,,,3073.4,,
2026-02-14 15:00:00,,,,,2905.733333,,3214.933333,,,,3154.066667,,
2026-02-14 15:15:00,,,,,2938.066667,,3243.466667,,,,3025,,
2026-02-14 15:30:00,,2246.571429,,2278.5,2898,,3132.6,,,,2965.866667,,
2026-02-14 15:45:00,,1897.533333,,2283.8,2897.866667,,3046.933333,,,,2991.133333,,
2026-02-14 16:00:00,,1966.866667,,2283.133333,2932.733333,,3041.333333,,,,2830.933333,,
2026-02-14 16:15:00,,2021.8,,2236.066667,2861.466667,,3060.333333,,,,2713.2,,
2026-02-14 16:30:00,,2094.6,,2223.466667,2796.733333,,2986.2,,,,2706.933333,,
2026-02-14 16:45:00,,2161.6,,2391.2,2801.266667,2941.6,2959.266667,,,,2704.533333,,
2026-02-14 17:00:00,,2147.666667,,2404.4,2756.6,3397.8,2914.2,,,,2677.533333,,
2026-02-14 17:15:00,,2139.133333,,2205.8,2835.2,3477.666667,2899,,,,2714.666667,,
2026-02-14 17:30:00,,2203.466667,,2145.133333,2750.866667,3632.866667,3110.066667,,,,2883.8,,
2026-02-14 17:45:00,,3313.466667,,2157.733333,2661.733333,3621,3019.066667,,,,2700.8,,
2026-02-14 18:00:00,,2542.8,,2142.733333,2576.133333,3750.866667,3053.6,,,,2663.333333,,
2026-02-14 18:15:00,,2450.866667,,2381,2531.266667,4000.533333,3114.066667,,,,2709.133333,,
2026-02-14 18:30:00,,2394.8,1641.846154,2726.533333,2517.2,4052.466667,3236.066667,,,,2702.6,,
2026-02-14 18:45:00,,2421,1843.266667,3067.133333,2584.533333,3993.133333,3431.866667,,,,2891.733333,,
2026-02-14 19:00:00,,2806.066667,1948.8,3079.6,2685.666667,3883,3333.2,,,,2724.333333,,
2026-02-14 19:15:00,,2841.133333,1976,3377.4,2779,3693.066667,3484.066667,,,,2549.333333,,
2026-02-14 19:30:00,,2752.933333,2256.466667,3473.133333,2808.6,3400.333333,3645,,,,2519.066667,,
2026-02-14 19:45:00,,2928,2081.933333,3663.866667,2965.6,3603.8,3832.733333,,,,2637,,
2026-02-14 20:00:00,,3235.733333,2776.6,3857.2,3086.133333,3899.933333,3852.2,,,,2870.133333,,
2026-02-14 20:15:00,,3426.266667,3414.066667,3857.466667,3248.466667,4273.133333,3830.133333,,,,2781.533333,,
2026-02-14 20:30:00,,3672.733333,3564.666667,3905.4,3366.266667,4137.266667,3767.266667,,,,3011.133333,,
2026-02-14 20:45:00,,3681.733333,3358.4,4014.2,3251.533333,4062.466667,3790.133333,,,,3441.066667,,
2026-02-14 21:00:00,,3475.6,3214.4,4239.4,3098.466667,4529.933333,3878.333333,,,,4853,,
2026-02-14 21:15:00,,3461.533333,3272.2,4173.6,3240.4,4645.266667,4042.733333,,,,4982.533333,,
2026-02-14 21:30:00,,3359.466667,3199.733333,4267.6,3731.266667,4322.4,4294.733333,,,,3902.133333,,
2026-02-14 21:45:00,,3706.666667,3481.6,4379.266667,3584.866667,4180.6,4152.266667,,,,4969.733333,,
2026-02-14 22:00:00,,3963.466667,3725.133333,4384,3620,4594.4,4164.4,,,,5977.866667,,
2026-02-14 22:15:00,,4150.933333,3350.933333,4540.933333,3602.066667,4677.466667,4178.533333,,,,6071.466667,,
2026-02-14 22:30:00,,4216.266667,3298.266667,4139.266667,3673.133333,4519.066667,4262.533333,,,,7427.266667,,
2026-02-14 22:45:00,,3929.466667,3068.333333,4653.8,3735.733333,4517.933333,4260.466667,,,,10111.2,,
2026-02-14 23:00:00,,4071.333333,3149.666667,5100.866667,3748.133333,4715.333333,4190.6,,,,8275.2,,
2026-02-14 23:15:00,,3982.333333,3147.466667,4969.733333,3907.6,4825.8,4231.866667,,,,8773.466667,,
2026-02-14 23:30:00,,3983.333333,3177.666667,4650.733333,3905.333333,4597.133333,4090.866667,,,,8590.4,,
2026-02-14 23:45:00,,4082.2,3189.6,4798.933333,3805.066667,4766.066667,4061.2,,,,8427.666667,,
2026-02-15 0:00:00,,4272.733333,3344.733333,5167.8,3907,4858.2,4109.266667,,,,8771.666667,,
2026-02-15 0:15:00,,4310.266667,3451.066667,4982.533333,3816.8,4567.066667,4061.333333,,,,8283.066667,,
2026-02-15 0:30:00,,4276.466667,3401.066667,5124.533333,3969.866667,3860.133333,3996.066667,,,,6872.733333,,
2026-02-15 0:45:00,,4133,3440.2,6162.666667,3795.6,3190.4,4004.333333,,,,7437.866667,,
2026-02-15 1:00:00,,4089.2,3558.133333,5861.666667,3668.533333,2944.733333,3953.8,,,,7053.8,,
2026-02-15 1:15:00,,4321.2,3289.733333,5804.866667,3803,2880.466667,3950.533333,,,,8006.733333,,
2026-02-15 1:30:00,,4521.866667,3157.933333,5838.333333,3653.333333,2856.666667,3873.933333,,,,7396.266667,,
2026-02-15 1:45:00,,4632,3192.6,5915.333333,3764.733333,2791.666667,3870.333333,,,,6900.733333,,
2026-02-15 2:00:00,,5357.2,3206.4,5774.333333,3852.333333,2692.2,3802.733333,,,,7484.6,,
2026-02-15 2:15:00,,4765.866667,3347.866667,5941.733333,3996.466667,2516.533333,3808.333333,,,,8636.866667,,
2026-02-15 2:30:00,,4501.066667,3226.6,5934.266667,4173.333333,2398.2,3778.533333,,,,8321.4,,
2026-02-15 2:45:00,,4265.4,3150.2,6511.133333,4179.533333,2371.2,3820.066667,,,,6571.266667,,
2026-02-15 3:00:00,,4113.2,2990.6,6531.933333,4134.266667,2364.933333,3813.133333,,,,7208.533333,,
2026-02-15 3:15:00,,4117.466667,3236.666667,6326.6,4246.2,2384,3846.466667,,,,7776.8,,
2026-02-15 3:30:00,,4098.733333,3159.266667,6199,4251.733333,2284,3814.466667,,,,8330.066667,,
2026-02-15 3:45:00,,4119.6,3076.333333,6314.533333,4277.133333,2209.466667,3968.733333,,,,8309.466667,,
2026-02-15 4:00:00,,4073.066667,2991.266667,6517.866667,4290.866667,2280.933333,3897,,,,8353.2,,
2026-02-15 4:15:00,,4078.266667,2907.933333,6319.066667,4430,2299.266667,3912.333333,,,,7673.533333,,
2026-02-15 4:30:00,,4099,2994.666667,6542.666667,4511.2,2342.133333,4056.666667,,,,7393,,
2026-02-15 4:45:00,,4157.666667,3049.666667,6054.533333,4531.533333,2346.533333,4131.8,,,,7209.866667,,
2026-02-15 5:00:00,,4154.866667,2941.133333,6009.866667,4537.466667,2383.466667,4211.066667,,,,7184.066667,,
2026-02-15 5:15:00,,4161.266667,2888.133333,6285.733333,4618.466667,2383.333333,4173.066667,,,,6988.8,,
2026-02-15 5:30:00,,4234.266667,2962.066667,6620.6,4595.8,2344.933333,3957.733333,,,,6749.466667,,
2026-02-15 5:45:00,,4086.266667,2905.8,6621.933333,4534.133333,2351.933333,3968.933333,,,,6655.533333,,
2026-02-15 6:00:00,,4166.8,3019.333333,6600.666667,4209.666667,2379.933333,3933.133333,,,,6522.133333,,
2026-02-15 6:15:00,,4179.733333,2980.933333,6611.4,4228.666667,2439.933333,3875.866667,,,,6732.133333,,
2026-02-15 6:30:00,,4159.8,2898.2,6500,4030.6,2460.466667,3998.466667,,,,6806.6,,
2026-02-15 6:45:00,,4083.866667,2901.8,6376.133333,3521.866667,2514.6,4027.733333,,,,6977.133333,,
2026-02-15 7:00:00,,4198.266667,2785.8,6164.4,3421.066667,2613.4,3946.666667,,,,6976.8,,
2026-02-15 7:15:00,,4600.733333,2540.466667,6258.733333,3435.066667,3141.866667,3993.866667,,,,6659.866667,,
2026-02-15 7:30:00,,4862.533333,2684.333333,6259.333333,3757.666667,3374.866667,4012.133333,,,,6593.733333,,
2026-02-15 7:45:00,,4712.666667,2439.466667,6206.6,4069.866667,3381.733333,3857.866667,,,,7001.4,,
2026-02-15 8:00:00,,4397.8,2352,5869.933333,3565,3221.133333,3904.866667,,,,6888.466667,,
2026-02-15 8:15:00,,4738.066667,2520.866667,5878.133333,3954.466667,4043.4,3902.666667,,,,7133.466667,,
2026-02-15 8:30:00,,4754.866667,2588.466667,6189.533333,3712.066667,4752.8,4104.8,,,,8066.4,,
2026-02-15 8:45:00,,4862.666667,2619.466667,6673.533333,3710.333333,4804.2,4273.866667,,2773.5,,8707.933333,,
2026-02-15 9:00:00,,5522.466667,2597.6,7061.933333,3610.4,4972.066667,4319.133333,,3915.533333,,8807,,
2026-02-15 9:15:00,,5018.333333,2580.266667,7249.466667,3519.133333,4900.666667,4214.866667,,4469.666667,,8900.666667,,
2026-02-15 9:30:00,,4956.2,2673.8,7518,3922.333333,4789.533333,4373.266667,,4708.8,,9066.8,,
2026-02-15 9:45:00,,4915.533333,2686.866667,7576.266667,3838,4771.533333,4383.666667,,4870.066667,,9127.8,,
2026-02-15 10:00:00,,4901.133333,2685.733333,7670.6,3998.133333,4590,4076.8,,4900.733333,,8802.6,,
2026-02-15 10:15:00,,5010.866667,2884.133333,7743.8,3716.266667,4371.333333,3862,,4955.8,,8194.133333,,
2026-02-15 10:30:00,,5389.8,3257.266667,7911.333333,4321.466667,4102.666667,3810.6,,5247.4,,7797.933333,,
2026-02-15 10:45:00,,5776.8,2882.133333,8492.066667,5018.066667,4270.533333,2639.4,,5548.666667,,7342.533333,,
2026-02-15 11:00:00,,5875.733333,3120.666667,8835.533333,5218.266667,4608.733333,2037.533333,,5825,,7388.866667,,
2026-02-15 11:15:00,,5923.2,2978.466667,8962.333333,5890,4600,2061.933333,,5869.133333,,7712.133333,,
2026-02-15 11:30:00,,5671.533333,2659.066667,9125.8,5962.933333,4114.333333,2288,,5708.733333,,7563,,
2026-02-15 11:45:00,,6044.866667,2454.6,8538.2,5847,4089.933333,2316.866667,,4839.6,,7200.133333,,
2026-02-15 12:00:00,,5911.333333,2723,6946.933333,5873.533333,4074,2447.466667,,4644.4,,6996.866667,,
2026-02-15 12:15:00,,5758.933333,2895.2,6737.6,5913.133333,4138.066667,2581.333333,,4735.333333,,6850.4,,
2026-02-15 12:30:00,,5132.6,3038,7354.533333,5850.333333,4078,2921.266667,,6274.8,,7000.133333,,
2026-02-15 12:45:00,,4757.066667,3014.533333,6331.6,5417.133333,3939.533333,3225.666667,,7206.733333,,5940.6,,
2026-02-15 13:00:00,,4999.266667,2834,5344.4,5426.666667,4124.866667,3314.333333,,7737.4,,3821.333333,,
2026-02-15 13:15:00,,5046.333333,3035.866667,6109.666667,5486.133333,4237.266667,3447.933333,,7881,,3774.266667,,
2026-02-15 13:30:00,,4925.866667,3481.066667,6189,5867.266667,4880.2,3631.866667,,7908.2,,4062.4,,
2026-02-15 13:45:00,,5228.733333,3824.266667,18367.53333,5956.4,5619.8,4464.266667,,7440.266667,,4179.4,,
2026-02-15 14:00:00,,5962.266667,4473.4,22146.26667,6026.333333,5884.533333,6356.066667,,7125.4,,4944.066667,,
2026-02-15 14:15:00,,7530.266667,5107.133333,6141.866667,6322.666667,6189.333333,7539.466667,,7242.333333,,6911.2,,
2026-02-15 14:30:00,,8438.466667,5543.533333,5606.2,6774.066667,5917.466667,7661.533333,,7729.933333,,7367.133333,,
2026-02-15 14:45:00,,8758.266667,5358,6600.466667,6933.8,5854.2,7937.8,,8182.4,,6802.866667,,
2026-02-15 15:00:00,,7656,5881.466667,6958.2,6877.533333,6171.066667,8319.8,2577.5,9421.333333,,7401.733333,,
2026-02-15 15:15:00,,6902.133333,5327.133333,7537.733333,6902.733333,6679.333333,8735.533333,6621.4,8282.533333,,7135.933333,,
2026-02-15 15:30:00,,8291.666667,5007.133333,6873.8,6915.266667,7165.133333,8898.133333,8092.133333,8365.533333,,6869.666667,,
2026-02-15 15:45:00,,8882.066667,7125.333333,7094.8,6952.066667,7680.933333,10140.06667,7596.066667,7779,,7338.666667,,
2026-02-15 16:00:00,,8639.933333,12451.8,10448.33333,7340.533333,7397.333333,9294.2,7530.533333,7854.266667,,7499.866667,,
2026-02-15 16:15:00,,8125.466667,10134.33333,24723.06667,7663.2,6811.133333,9007.533333,7395.666667,7975.333333,,7530.533333,,
2026-02-15 16:30:00,,7616.666667,6074.933333,5995.866667,8282.733333,6945.066667,8612.933333,7343.466667,7946.333333,,7345.533333,,
2026-02-15 16:45:00,,7459.933333,6360.466667,6090.933333,8246.133333,6775.866667,9624.333333,7166.466667,7877.933333,,7016.8,,
2026-02-15 17:00:00,,6778.266667,9401.6,6748.466667,8021.733333,6779.733333,9298.133333,7106.666667,7858.2,,6817.733333,,
2026-02-15 17:15:00,,6419.266667,8582.533333,7135.4,8232.133333,7312.533333,10370.6,6727.066667,7860.8,,6257.333333,,
2026-02-15 17:30:00,,6797,7401,7032.866667,8092.333333,6837.4,10993.66667,6704.466667,8303.4,,5917.466667,,
2026-02-15 17:45:00,,6980.466667,6820.866667,7024.133333,9005.666667,6803.533333,12279.66667,6898.133333,8582.933333,,6118.066667,,
2026-02-15 18:00:00,,7133.533333,6644.066667,7074.933333,8885.4,7093.2,12832.26667,6633.933333,8688.2,,5915.4,,
2026-02-15 18:15:00,,8868.866667,6337.866667,7066.2,8887.8,7916.466667,12784.46667,6345.2,9252.133333,,5968.133333,,
2026-02-15 18:30:00,,7518.066667,6275.933333,7362.133333,9237.8,8049.733333,10738.66667,6516.933333,10648.8,,6354.666667,,
2026-02-15 18:45:00,,7903.533333,8129.266667,7300,9485.6,8137.133333,10683.86667,7224.6,10891.46667,5171.375,6624.066667,,
2026-02-15 19:00:00,,8053.333333,9421.666667,7910.8,9538,8741.4,11920.53333,7722.733333,11503.06667,6614.4,6787.933333,,
2026-02-15 19:15:00,,8088.333333,8700.666667,8257.933333,9253.2,8847.533333,13824.4,7529.4,11767.86667,7554.666667,7104.066667,,
2026-02-15 19:30:00,,8132.866667,8565.8,8581.666667,9513.4,9466.333333,13186.73333,6748.933333,10140,7854.6,7284.933333,,
2026-02-15 19:45:00,,8286.933333,8408.466667,8443.466667,10913.6,10082.46667,13739.8,6947.333333,10636.53333,8561.866667,7365.333333,,
2026-02-15 20:00:00,,8035,8954.466667,8778.8,11751.26667,10457.33333,15050,7302.4,11864.73333,8337.2,7365.266667,,
2026-02-15 20:15:00,,8165.933333,9206.066667,8934.933333,12194.53333,10888,14163,7813.866667,12727.06667,9140.666667,7359,,
2026-02-15 20:30:00,,8363.733333,9262,9064.866667,12394.4,10109.86667,16024.6,7826.333333,10690.2,9060.2,7580.866667,,
2026-02-15 20:45:00,,8710.8,9549.333333,9120.2,11750.14286,10119.6,13990.53333,7814.8,11657.06667,9087.666667,7657.6,,
2026-02-15 21:00:00,,9190.866667,9215.133333,9522.466667,,10122.8,15401.73333,7569.066667,12610.06667,11137.33333,7491.666667,,
2026-02-15 21:15:00,,9651.2,9303.733333,9394.933333,,10706.2,17998.33333,7751.4,11315.53333,9709.333333,7697.2,,
2026-02-15 21:30:00,,10599.26667,9579.933333,9385.266667,,10195.8,15924.46667,7861.4,12737.46667,9861.666667,7973.333333,,
2026-02-15 21:45:00,,9410.4,10722.26667,9415.933333,,10190.73333,14889.6,8045.2,14702.53333,11311.26667,7633.533333,,
2026-02-15 22:00:00,,9244.533333,11043.53333,9555.6,,10461,15512.6,7743.933333,15812,14650.86667,7291.266667,,
2026-02-15 22:15:00,,9278.066667,13028.2,9630.8,,10120.2,15187.2,7485,14113.8,15761,7321.133333,,
2026-02-15 22:30:00,,9053.2,14831.86667,9568.866667,,10008.4,14529.53333,7530.666667,11523.8,15042.06667,7468.333333,,
2026-02-15 22:45:00,,9130.8,11906.73333,9244.666667,,10297.73333,15962.66667,7430.133333,10954.4,15855.66667,7570.533333,,
2026-02-15 23:00:00,,9225.066667,12031.53333,9353.066667,,10202.93333,21171.6,7823.066667,11514.86667,19954,7691.733333,,
2026-02-15 23:15:00,,10155.13333,12386.73333,9579.4,,10242.53333,18233.06667,9243.6,10367.6,19886.46667,8056.533333,,
2026-02-15 23:30:00,,10666.53333,12333,9752.266667,,15256.66667,19858.6,9514.533333,10845.6,18163.46667,8178.133333,,
2026-02-15 23:45:00,,12963.6,11746.6,10467.8,,18372.26667,16842.06667,9458.6,11519.33333,17178.6,8152.266667,,
2026-02-16 0:00:00,,16778.86667,12177.66667,9907,,21733.46667,16099.06667,10387.53333,10431.46667,17601.26667,8428.933333,,
2026-02-16 0:15:00,,14447.46667,11300.13333,9606.466667,,18978.53333,16393.33333,10350,10595.46667,19077.13333,8421.266667,,
2026-02-16 0:30:00,,15737.26667,12172.93333,9536.8,,15174.06667,15184.73333,13879.46667,11980.4,16595.6,8888.266667,,
2026-02-16 0:45:00,,14702.2,12749.46667,9513.2,,14689.93333,15105.6,14179.8,12541.53333,15924.6,8959.466667,,
2026-02-16 1:00:00,,14148.26667,13042,9683.133333,,14318.6,16423.46667,13668.86667,11743.8,16140.93333,8756.866667,,
2026-02-16 1:15:00,,13783.53333,13739.4,9595.533333,,14564.46667,14873.33333,14916.2,13607.33333,14115,8560.333333,,
2026-02-16 1:30:00,,14957.93333,13744.46667,10197.46667,,13955.6,15305.33333,14111.6,15097.8,12593.53333,8715.466667,,
2026-02-16 1:45:00,,16456.06667,14196.73333,14136.2,,14013.26667,14818.53333,15391.26667,13232.26667,11985.8,9401.133333,,
2026-02-16 2:00:00,,16351,15039.33333,15212.93333,,13652.2,21965.13333,16198.66667,12454.2,11856.53333,12015.06667,,
2026-02-16 2:15:00,,17038.53333,15129.8,15145.26667,,13225.4,22288.86667,16061.2,13697.53333,11994.66667,14683.13333,,
2026-02-16 2:30:00,,17178,16758.66667,15865.33333,,14266.4,22341,16662.86667,17230,12249.8,16508.93333,,
2026-02-16 2:45:00,,18661.86667,18556,16778,,21080.6,27980.33333,16258.2,15831.86667,13231,16197.73333,,
2026-02-16 3:00:00,,15419.53333,18513.13333,18691.53333,,23028.13333,29538.53333,16481.8,15291.13333,13434.46667,14915.33333,,
2026-02-16 3:15:00,,15670.13333,19786.33333,21607.4,,21646.8,30766.73333,16258.53333,16306.93333,13304.33333,17114.06667,,
2026-02-16 3:30:00,,15882.93333,18291.13333,18751.73333,,21431.33333,32149.93333,15653.06667,17515.66667,12724.6,16629.4,,
2026-02-16 3:45:00,,14904.13333,15893.53333,16789,,22318.46667,29544.4,15280.2,17247.86667,12354.66667,15309.46667,,
2026-02-16 4:00:00,,14921,15165.73333,16523.86667,,21344,28675.46667,14979.13333,18431.26667,11509.66667,18291.66667,,
2026-02-16 4:15:00,,13633.13333,14838.46667,17074.46667,,17681.53333,23686.13333,15171.4,18167.93333,11648.2,16659.33333,,
2026-02-16 4:30:00,,13501.6,13608.06667,17632.13333,,17617.73333,17236.93333,14762,18668,12861.2,14802.26667,,
2026-02-16 4:45:00,,14090.2,13982.46667,17763,,18897.46667,15333.26667,14716.2,18507.33333,15608.06667,15615.13333,,
2026-02-16 5:00:00,,15283.26667,14111.2,17432,,24445.53333,14050.06667,14600.66667,16385,16067,14879.2,,
2026-02-16 5:15:00,,15529.4,14653.46667,17335.46667,,26132.4,13322.06667,14000.13333,16875.26667,14291.4,15764.53333,,
2026-02-16 5:30:00,,15942.33333,14386.8,18325.93333,,26666.33333,12203.26667,15756.2,16237.26667,14097.4,16960.26667,,
2026-02-16 5:45:00,,16464.86667,16189.33333,23338.33333,,21582,11780.8,17201.26667,15439.4,15323.46667,17716.4,,
2026-02-16 6:00:00,,19128.13333,17197.4,26070.53333,,18706.26667,13992.4,18256.4,15660.66667,15012.33333,18923.53333,,
2026-02-16 6:15:00,,18426.93333,16692,24941.73333,,18002.06667,16882.46667,17663.06667,16303.26667,15071.6,19806.13333,,
2026-02-16 6:30:00,,16722.13333,15830.6,21112.06667,,18331.4,17843,16316.73333,16156.93333,16657.93333,19433.93333,,
2026-02-16 6:45:00,,14086,15259.26667,18016.13333,,19803.73333,18488,15573.93333,16671.73333,19091,18400.73333,,
2026-02-16 7:00:00,,12732.2,14138.33333,16367.8,,20972.66667,19312.06667,14172.86667,16059.46667,19280.8,15725.73333,,
2026-02-16 7:15:00,,10494.66667,12947.8,14753,,21627,18409.66667,11064.6,16636.86667,19252.86667,12646.06667,,
2026-02-16 7:30:00,,9489.066667,12589.26667,12958.26667,,20769.6,17593.6,8811.8,16460.93333,20349.86667,8599.466667,,
2026-02-16 7:45:00,,7883.6,11192.6,11216.6,,19309.8,17876.53333,8184.4,16516.53333,21379.13333,6687.133333,,
2026-02-16 8:00:00,,7028.866667,10538.46667,10605.86667,,16111.46667,17169.26667,8205.333333,15550.06667,21550.2,6736.133333,,
