Date/Time,1502_O_BLPK,2071_O_NOSD,2348_O_HILL,2533_O_ALTN,2759_O_BRHT,3555_O_SCLL,4431_O_WBG,4860_O_SQHN,5571_O_BUFF,5575_O_ETNA,5624_O_BUFF,6582_O_OAKD,6959_O_ELIB,7324_O_NSHR,8485_O_FRSP,8609_O_DOWN,8941_O_MTLE
2018-08-17 02:30:00,,,,,,3138.0,,,2471.0,,,,,,,,2493.6
2018-08-17 02:45:00,,,,,,3146.133333333333,,,2475.0,,,,,,,,2458.6666666666665
2018-08-17 03:00:00,,,,,,3135.4,,,2522.0,,,,,,,,2968.5333333333333
2018-08-17 03:15:00,,,,,,3150.266666666667,,,2495.933333333333,,,,,,,,3088.266666666667
2018-08-17 03:30:00,,,,,,3158.333333333333,,,2538.4,,,,,,,,3023.066666666666
2018-08-17 03:45:00,,,,,,3202.4,,,2607.6,,,,,,,,2874.133333333333
2018-08-17 04:00:00,,,,,,3218.5333333333333,,,2645.4666666666667,,,,,,,,2775.733333333333
2018-08-17 04:15:00,,,,,,3243.0,,,2594.733333333333,,,,,,,,2926.4666666666667
2018-08-17 04:30:00,,,,,,3289.4,,,2611.8,,,,,,,,2767.133333333333
2018-08-17 04:45:00,,,,,,3307.066666666666,,,2559.2,,,,,,,,3017.2
2018-08-17 05:00:00,,,,,,3239.5333333333333,,,2563.133333333333,,,,,,,,2958.666666666666
2018-08-17 05:15:00,,,,,,3167.4,,,2573.266666666667,,,,,,,,2649.6
2018-08-17 05:30:00,,,,,,3090.8,,,2516.6,,,,,,,,2656.5333333333333
2018-08-17 05:45:00,,,,,,3045.933333333333,,,2449.6666666666665,,,,,,,,2784.4
2018-08-17 06:00:00,,,,,,2992.066666666666,,,2415.0,,,,,,,,2587.8
2018-08-17 06:15:00,,,,,,2966.333333333333,,,2338.933333333333,,,,,,,,2515.4666666666667
2018-08-17 06:30:00,,,,,,2973.266666666667,,,2349.133333333333,,,,,,,,2520.5333333333333
2018-08-17 06:45:00,,,,,,2955.666666666666,,,2316.4666666666667,,,,,,,,2627.733333333333
2018-08-17 07:00:00,,,,,,2976.6,,,2272.733333333333,,,,,,,,2695.266666666667
2018-08-17 07:15:00,,,,,,2970.6,,,2290.4,,,,,,,,2670.6
2018-08-17 07:30:00,,,,,,2988.0,,,2248.6666666666665,,,,,,,,2555.733333333333
2018-08-17 07:45:00,,,,,,2984.4,,,2199.133333333333,,,,,,,,2681.6666666666665
2018-08-17 08:00:00,,,,,,2930.666666666666,,,2192.4666666666667,,,,,,,,3678.2
2018-08-17 08:15:00,,,,,,2791.733333333333,,,2166.333333333333,,,,,,,,5187.333333333333
2018-08-17 08:30:00,,,,,,2695.5333333333333,,,2147.0666666666666,,,,,,,,3352.0
2018-08-17 08:45:00,,,,,,2690.6666666666665,,,2190.6666666666665,,,,,,,,2934.2
2018-08-17 09:00:00,,,,,,2544.6,,,2171.0,,,,,,,,3110.6
2018-08-17 09:15:00,,,,,,2340.8,,,2109.266666666667,,,,,,,,3009.066666666666
2018-08-17 09:30:00,,,,,,2483.6666666666665,,,2263.933333333333,,,,,,,,2942.933333333333
2018-08-17 09:45:00,,,,,,2634.4,,,2364.6666666666665,,,,,,,,3904.266666666667
2018-08-17 10:00:00,,,,,,2623.733333333333,,,2250.866666666667,,,,,,,,4377.066666666667
2018-08-17 10:15:00,,,,,,2412.733333333333,,,2076.4,,,,,,,,4382.066666666667
2018-08-17 10:30:00,,,,,,1907.533333333333,,,1964.466666666667,,,,,,,,5172.466666666666
2018-08-17 10:45:00,,,,,,2104.6,,,2030.6,,,,,,,,3503.4
2018-08-17 11:00:00,,,,,,2433.0666666666666,,,2064.6666666666665,,,,,,,,1363.8
2018-08-17 11:15:00,,,,,,2664.266666666667,,,2789.733333333333,,,,,,,951.1333333333333,
2018-08-17 11:30:00,,,,,,2809.5333333333333,,,3712.933333333333,,,,,,,833.6666666666665,
2018-08-17 11:45:00,,,,,,3138.866666666667,,,4045.8,,,,,2627.0,,893.6666666666665,
2018-08-17 12:00:00,,,,,,3361.0,,,3846.733333333333,,,,,2228.733333333333,,902.9333333333333,
2018-08-17 12:15:00,,,,,,2794.4666666666667,,,4243.933333333333,,,,,1988.8,,832.6,
2018-08-17 12:30:00,,,,,,2461.333333333333,,,4209.666666666667,,,,,2211.6666666666665,,769.0,
2018-08-17 12:45:00,,,,,,2435.133333333333,,,3179.866666666667,,,,,2651.4666666666667,,736.2,
2018-08-17 13:00:00,,,,,,2189.933333333333,,,2638.2,,,,,3389.733333333333,,719.75,
2018-08-17 13:15:00,,,,,,1660.2666666666669,,,3350.666666666666,,,,,3493.0,,,
2018-08-17 13:30:00,,,,,,1927.4,,,4431.933333333333,,,,,3582.666666666666,,,
2018-08-17 13:45:00,,,,,,2625.866666666667,,,4916.333333333333,,,,,3469.0,,,
2018-08-17 14:00:00,,,,,,3312.8,,,4343.733333333334,,,,,3308.8,,,
2018-08-17 14:15:00,,,,,,3289.8,,,3268.666666666666,,,,,2696.266666666667,,,
2018-08-17 14:30:00,,,,,,3371.866666666667,,,2547.266666666667,,,,,2213.4666666666667,,,
2018-08-17 14:45:00,,,,,,3171.4666666666667,,,2444.4666666666667,,,,,2082.6666666666665,,,
2018-08-17 15:00:00,,,,,,2843.4666666666667,,,2663.933333333333,,,,,2195.333333333333,,,
