Date/Time,2197_O_CLE,1903_O_SWVL,7204_O_AVNW,8755_O_MTLE,6227_O_ELIB,8972_O_SHADY,5165_O_GIBS,8185_O_SWPK,3422_O_HICK,2330_O_nan
2016-05-26 22:15:00,,,,,45.2,42.8,,,,
2016-05-26 22:30:00,,,,,47.333333333333336,41.93333333333333,,,,
2016-05-26 22:45:00,,,,,46.46666666666667,41.266666666666666,,,,
2016-05-26 23:00:00,,,,,44.06666666666667,45.6,,,,
2016-05-26 23:15:00,,,,,42.0,44.733333333333334,,,,
2016-05-26 23:30:00,,,,,41.333333333333336,42.266666666666666,,,,
2016-05-26 23:45:00,,,,,48.266666666666666,44.46666666666667,,,,
2016-05-27 00:00:00,,,,,47.53333333333333,42.733333333333334,,,,
2016-05-27 00:15:00,,,,,48.06666666666667,47.8,,,,
2016-05-27 00:30:00,,,,,49.0,43.666666666666664,,,,
2016-05-27 00:45:00,,,,,49.53333333333333,46.8,,,,
2016-05-27 01:00:00,,,,,47.8,45.666666666666664,,,,
2016-05-27 01:15:00,,,,,49.46666666666667,43.266666666666666,,,,
2016-05-27 01:30:00,,,,,53.06666666666667,42.86666666666667,,,,
2016-05-27 01:45:00,,,,,55.06666666666667,42.0,,,,
2016-05-27 02:00:00,,,,,54.266666666666666,42.266666666666666,,,,
2016-05-27 02:15:00,,,,,62.53333333333333,46.733333333333334,,,,
2016-05-27 02:30:00,,,,,65.86666666666666,47.0,,,,
2016-05-27 02:45:00,,,,,64.26666666666667,50.53333333333333,,,,
2016-05-27 03:00:00,,,,,54.4,54.4,,,,
2016-05-27 03:15:00,,,,,54.0,51.53333333333333,,,,
2016-05-27 03:30:00,,,,,55.2,51.4,,,,
2016-05-27 03:45:00,,,,,55.733333333333334,50.06666666666667,,,,
2016-05-27 04:00:00,,,,,57.2,49.0,,,,
2016-05-27 04:15:00,,,,,50.8,48.06666666666667,,,,
2016-05-27 04:30:00,,,,,58.333333333333336,50.266666666666666,,,,
2016-05-27 04:45:00,,,,,62.06666666666667,51.46666666666667,,,,
2016-05-27 05:00:00,,,,,60.06666666666667,49.733333333333334,,,,
2016-05-27 05:15:00,,,,,56.2,50.46666666666667,,,,
