Date/Time,6294_O_GNFD,8859_O_SQHL,8755_O_MTLE,5906_O_OH,1354_O_SHADY
2015-11-24 19:00:00,,,74.66666666666667,,53.86666666666667
2015-11-24 19:15:00,,,73.4,,55.46666666666667
2015-11-24 19:30:00,,,67.86666666666666,,59.86666666666667
2015-11-24 19:45:00,,,62.53333333333333,,60.2
2015-11-24 20:00:00,,,54.53333333333333,,63.666666666666664
2015-11-24 20:15:00,,,59.8,,92.23076923076923
2015-11-24 20:30:00,,,59.13333333333333,,93.28571428571429
2015-11-24 20:45:00,187.4,,51.266666666666666,,99.33333333333333
2015-11-24 21:00:00,163.14285714285714,,53.666666666666664,,101.8
2015-11-24 21:15:00,,,68.86666666666666,,114.4
2015-11-24 21:30:00,,,77.86666666666666,,117.86666666666666
2015-11-24 21:45:00,,,66.13333333333334,,113.53333333333333
2015-11-24 22:00:00,,,54.333333333333336,,124.4
2015-11-24 22:15:00,,,46.13333333333333,,127.13333333333334
2015-11-24 22:30:00,,,46.266666666666666,,125.6
2015-11-24 22:45:00,,,46.733333333333334,,131.86666666666667
2015-11-24 23:00:00,,,50.6,,138.26666666666668
2015-11-24 23:15:00,,,51.733333333333334,,148.53333333333333
2015-11-24 23:30:00,,,54.333333333333336,,146.6
2015-11-24 23:45:00,,,55.93333333333333,,156.26666666666668
2015-11-25 00:00:00,,,56.266666666666666,,158.06666666666666
2015-11-25 00:15:00,,,60.46666666666667,,166.2
2015-11-25 00:30:00,,,63.733333333333334,,168.4
2015-11-25 00:45:00,,,68.66666666666667,,165.46666666666667
2015-11-25 01:00:00,,,71.93333333333334,,180.13333333333333
2015-11-25 01:15:00,,,89.0,,184.53333333333333
2015-11-25 01:30:00,,,101.53333333333333,,177.6
2015-11-25 01:45:00,,,98.26666666666667,,176.8
2015-11-25 02:00:00,,,92.6,,176.91666666666666
2015-11-25 02:15:00,,,100.66666666666667,,
2015-11-25 02:30:00,,,104.73333333333333,,
2015-11-25 02:45:00,,,121.46666666666667,,
2015-11-25 03:00:00,,,121.13333333333334,,
2015-11-25 03:15:00,,,110.4,,
2015-11-25 03:30:00,,,111.86666666666666,,
2015-11-25 03:45:00,,,108.06666666666666,,
2015-11-25 04:00:00,,,113.26666666666667,,
2015-11-25 04:15:00,,,104.66666666666667,,
2015-11-25 04:30:00,,,102.86666666666666,,
2015-11-25 04:45:00,,,106.53333333333333,,
2015-11-25 05:00:00,,,109.53333333333333,,
2015-11-25 05:15:00,,,115.53333333333333,,
2015-11-25 05:30:00,,,124.8,,
2015-11-25 05:45:00,,,131.0,,
2015-11-25 06:00:00,,,124.46666666666667,,
2015-11-25 06:15:00,,,127.86666666666666,,
2015-11-25 06:30:00,,,128.06666666666666,,
2015-11-25 06:45:00,,,135.2,,
2015-11-25 07:00:00,,,138.73333333333332,,
2015-11-25 07:15:00,,,141.06666666666666,,
2015-11-25 07:30:00,,,147.8,,
2015-11-25 07:45:00,,,154.73333333333332,,
2015-11-25 08:00:00,,,156.4,,
2015-11-25 08:15:00,,,185.2,,
2015-11-25 08:30:00,,,208.66666666666666,,
2015-11-25 08:45:00,,,189.46666666666667,,
2015-11-25 09:00:00,,,164.13333333333333,,
2015-11-25 09:15:00,,,144.26666666666668,,
2015-11-25 09:30:00,,,140.4,,
2015-11-25 09:45:00,,,112.73333333333333,,
2015-11-25 10:00:00,,,71.6,,
2015-11-25 10:15:00,,,53.333333333333336,,
2015-11-25 10:30:00,,,53.666666666666664,,
2015-11-25 10:45:00,,,54.6,,
2015-11-25 11:00:00,,,51.6,,
2015-11-25 11:15:00,,,50.0,,
2015-11-25 11:30:00,,,56.93333333333333,,
2015-11-25 11:45:00,,,51.333333333333336,,
2015-11-25 12:00:00,,,45.86666666666667,,
2015-11-25 12:15:00,,,44.53333333333333,,
2015-11-25 12:30:00,,,43.6,,
2015-11-25 12:45:00,,,50.4,,
2015-11-25 13:00:00,,,50.4,,
2015-11-25 13:15:00,,,46.13333333333333,,
2015-11-25 13:30:00,,,41.13333333333333,,
2015-11-25 13:45:00,,,35.13333333333333,,
2015-11-25 14:00:00,,,36.733333333333334,,
2015-11-25 14:15:00,,,37.8,,
2015-11-25 14:30:00,,,37.53333333333333,,
2015-11-25 14:45:00,,,41.0,,
2015-11-25 15:00:00,,,39.2,,
2015-11-25 15:15:00,,,38.46666666666667,,
2015-11-25 15:30:00,,,36.93333333333333,,
2015-11-25 15:45:00,,,35.86666666666667,,
2015-11-25 16:00:00,,,34.06666666666667,,
2015-11-25 16:15:00,,,38.4,,
2015-11-25 16:30:00,,,37.733333333333334,,
2015-11-25 16:45:00,51.0,,39.06666666666667,,
2015-11-25 17:00:00,53.46666666666667,,46.266666666666666,,
2015-11-25 17:15:00,66.53333333333333,,44.13333333333333,,
2015-11-25 17:30:00,64.0,,44.8,,
2015-11-25 17:45:00,61.2,,47.333333333333336,,
2015-11-25 18:00:00,53.46666666666667,,47.666666666666664,,
2015-11-25 18:15:00,48.6,,47.4,,
2015-11-25 18:30:00,52.06666666666667,,52.46666666666667,,
2015-11-25 18:45:00,54.733333333333334,,54.6,,
2015-11-25 19:00:00,54.266666666666666,,50.733333333333334,,
2015-11-25 19:15:00,53.266666666666666,,47.0,,
2015-11-25 19:30:00,50.266666666666666,,42.53333333333333,,
2015-11-25 19:45:00,50.6,,46.333333333333336,,
