Date/Time,1369_O_GIBS,1404_O_TROY,1502_O_BLPK,2071_O_NOSD,2281_O_HiPK,3555_O_SCLL,4431_O_WBG,4482_O_VLVW,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6745_O_STDT,6809_O_SQHS,7543_O_MILL,7870_O_MILL,8109_O_FXCP,8183_O_MILL,8698_O_NOSD,8941_O_MTLE
2017-08-04 15:00:00,,,,479.78571428571433,364.07142857142856,754.8571428571429,684.5714285714286,,368.5,368.5,500.28571428571433,,631.7142857142858,1043.142857142857,,2.642857142857143,,727.4285714285713,
2017-08-04 15:15:00,,,,430.6,316.2,483.26666666666665,727.2666666666668,,326.3333333333333,326.3333333333333,397.26666666666665,,476.66666666666674,874.9333333333333,,2.4,,656.3333333333334,
2017-08-04 15:30:00,,,,451.66666666666674,282.2,367.0,745.4666666666667,,337.46666666666664,337.46666666666664,332.8666666666667,,527.2666666666668,791.7333333333332,,3.466666666666667,,616.2,
2017-08-04 15:45:00,,,,555.1333333333333,252.06666666666663,361.33333333333326,779.2666666666668,,307.2,307.2,351.66666666666674,,496.4,669.4,,2.6666666666666665,,434.9333333333333,
2017-08-04 16:00:00,,,,609.8,221.4,413.66666666666674,704.4666666666667,,326.1333333333333,326.1333333333333,315.6,,483.9333333333333,537.5333333333333,,2.2,,381.26666666666665,
2017-08-04 16:15:00,,,,640.6666666666666,214.4,457.06666666666666,666.8,,374.06666666666666,374.06666666666666,319.3333333333333,,414.26666666666665,551.8,,2.0,,356.4,
2017-08-04 16:30:00,,,,613.3333333333334,207.46666666666667,492.4,685.8,,383.26666666666665,383.26666666666665,331.26666666666665,,454.0,570.9333333333333,,2.066666666666667,,357.13333333333327,
2017-08-04 16:45:00,,,,601.0,263.2,511.33333333333326,619.2666666666668,,403.33333333333326,403.33333333333326,349.33333333333326,,691.2,583.6,,2.0,,429.33333333333326,
2017-08-04 17:00:00,,,,625.2,335.6,522.5333333333333,586.6666666666666,,410.8,410.8,379.86666666666673,,628.4,633.1333333333333,,2.2666666666666666,,416.4,
2017-08-04 17:15:00,,,,627.8,356.7333333333333,512.9333333333333,587.2666666666668,,419.6,419.6,392.2,,531.9333333333333,627.3333333333334,,2.0,,455.73333333333335,
2017-08-04 17:30:00,,,,644.0,343.2,519.6666666666666,591.0666666666667,,428.53333333333336,428.53333333333336,362.13333333333327,,533.7333333333332,617.6666666666666,,2.2666666666666666,,492.8,
2017-08-04 17:45:00,,,,697.9333333333333,335.1333333333333,517.2,636.2666666666668,,446.86666666666673,446.86666666666673,354.0,,530.1333333333333,624.4,,3.0,,474.4,
2017-08-04 18:00:00,,,,714.4,346.53333333333336,520.4666666666667,601.6666666666666,,431.33333333333326,431.33333333333326,386.73333333333335,,545.0,644.6,,4.333333333333333,,454.13333333333327,
2017-08-04 18:15:00,,,,680.6666666666666,354.06666666666666,514.0,801.4666666666667,,409.53333333333336,409.53333333333336,365.0,,567.6,631.0,,3.2,,550.9333333333333,
2017-08-04 18:30:00,,,,632.8,363.53333333333336,481.2,710.5333333333333,,435.73333333333335,435.73333333333335,381.2,,553.4,646.8666666666667,,2.6,,633.6,
2017-08-04 18:45:00,,,,694.7333333333332,345.4,476.26666666666665,753.4666666666667,,455.86666666666673,455.86666666666673,505.9333333333333,,556.4666666666667,652.8666666666667,,3.333333333333333,,652.9333333333333,
2017-08-04 19:00:00,,,,1018.2,349.86666666666673,495.86666666666673,749.6,,454.06666666666666,454.06666666666666,453.73333333333335,,576.4,694.8666666666667,,3.8,,546.6,
2017-08-04 19:15:00,,,,1531.333333333333,348.0,538.8,802.9333333333333,,581.6,581.6,402.26666666666665,,585.3333333333334,703.9333333333333,,3.4,,554.0666666666667,
2017-08-04 19:30:00,,,,1490.8,355.13333333333327,643.3333333333334,689.7333333333332,,865.9333333333333,865.9333333333333,356.6,,725.2,667.5333333333333,,3.0,,510.0,
2017-08-04 19:45:00,,,,1628.1333333333334,419.73333333333335,912.4,731.7333333333332,,1026.5333333333333,1026.5333333333333,376.4666666666666,,930.2,783.3333333333335,,2.333333333333333,,524.0,
2017-08-04 20:00:00,,,,1612.8,443.4,1182.9333333333334,1138.5333333333333,,1185.5333333333333,1185.5333333333333,438.2,,978.8,877.4,,2.4,,828.8,
2017-08-04 20:15:00,,,,1620.533333333333,471.6,1423.9333333333334,1381.333333333333,,1209.6666666666667,1209.6666666666667,661.9333333333333,,1318.8,1656.333333333333,,2.6,,1296.8,
2017-08-04 20:30:00,,,,1593.666666666667,490.13333333333327,1433.0,1536.9333333333334,,1166.2666666666667,1166.2666666666667,690.4666666666667,,1437.8,1722.8,,2.933333333333333,,1246.6666666666667,
2017-08-04 20:45:00,,,,1671.4,515.1333333333333,1347.0666666666666,1698.7333333333331,,1143.7333333333333,1143.7333333333333,689.3333333333335,,1215.0666666666666,1604.0,,3.066666666666667,,1248.6666666666667,
2017-08-04 21:00:00,,,,1636.1333333333334,564.2666666666668,1332.4666666666667,1911.2666666666669,,1147.8,1147.8,736.2666666666668,,1304.0,1710.8,,3.6666666666666665,,1238.0,
2017-08-04 21:15:00,,,,1679.8666666666666,581.9333333333333,1354.7333333333333,1961.6,,1189.2666666666667,1189.2666666666667,751.7333333333332,,1322.6666666666667,1765.2666666666669,,3.066666666666667,,1169.4,
2017-08-04 21:30:00,,,,1668.7333333333331,600.8,1396.2666666666669,1921.0,,1181.2,1181.2,766.0,,1289.4666666666667,1941.466666666667,,3.1333333333333333,,1244.8,
