Date/Time,2931_O_SQHL,5202_O_SOSP,7543_O_MILL,6227_O_ELIB,8284_O_SWPK,5160_O_MOON,5816_O_SQHL,1502_O_BLPK,4915_O_ECON,5624_O_BUFF,5571_O_BUFF,6399_O_GLEN,1639_O_ELIB
2016-12-09 15:00:00,,,208.07142857142858,81.57142857142857,,,,,,,,,46.5
2016-12-09 15:15:00,,,162.0,77.93333333333334,,,,,,,,,40.4
2016-12-09 15:30:00,,,46.13333333333333,72.06666666666666,,,,,,,,,39.53333333333333
2016-12-09 15:45:00,,,50.733333333333334,72.06666666666666,,,,,,,,,42.733333333333334
2016-12-09 16:00:00,,,45.06666666666667,77.26666666666667,,,,,,,,,39.46666666666667
2016-12-09 16:15:00,,,44.46666666666667,68.2,,,,,,,,,39.666666666666664
2016-12-09 16:30:00,,,41.8,64.46666666666667,,,,,,,,,39.6
2016-12-09 16:45:00,,,41.733333333333334,63.93333333333333,,,,,,,,,34.06666666666667
2016-12-09 17:00:00,,,36.733333333333334,62.4,,,,,,,,,32.666666666666664
2016-12-09 17:15:00,,,41.6,64.4,,,,,,,,,34.06666666666667
2016-12-09 17:30:00,,,38.53333333333333,57.06666666666667,,,,,,,,,33.8
2016-12-09 17:45:00,,,36.666666666666664,57.2,,,,,,,,,33.266666666666666
2016-12-09 18:00:00,,,38.13333333333333,58.93333333333333,,,,,,,,,34.06666666666667
2016-12-09 18:15:00,,,35.46666666666667,52.0,,,35.2,,,,,,35.13333333333333
2016-12-09 18:30:00,,,39.46666666666667,51.733333333333334,,,48.333333333333336,,,,,,33.86666666666667
2016-12-09 18:45:00,,,37.6,54.666666666666664,,,59.2,,,,,,32.2
2016-12-09 19:00:00,,,33.93333333333333,57.6,,,32.8,,,,,,29.333333333333332
2016-12-09 19:15:00,,,38.53333333333333,65.93333333333334,,,36.06666666666667,,,,,,32.0
2016-12-09 19:30:00,,,37.8,51.666666666666664,,,29.4,,,,,,31.2
2016-12-09 19:45:00,,,34.733333333333334,54.333333333333336,,,30.8,,,,,,30.533333333333335
2016-12-09 20:00:00,,,39.2,51.333333333333336,,,33.06666666666667,,,,,,30.6
2016-12-09 20:15:00,,,33.8,52.06666666666667,,,35.6,,,,,,35.8
2016-12-09 20:30:00,,,31.866666666666667,50.266666666666666,,,36.733333333333334,,,,,,37.333333333333336
2016-12-09 20:45:00,,,33.06666666666667,51.0,,,41.333333333333336,,,,,,36.93333333333333
2016-12-09 21:00:00,,,32.733333333333334,52.333333333333336,,,43.2,,,,,,39.06666666666667
2016-12-09 21:15:00,,,36.4,60.6,,,44.6,,,,,,41.46666666666667
2016-12-09 21:30:00,,,38.8,65.4,,,47.93333333333333,,,,,,43.2
2016-12-09 21:45:00,,,42.93333333333333,67.33333333333333,,,47.93333333333333,,,,,,41.333333333333336
2016-12-09 22:00:00,,,46.2,73.2,,,47.13333333333333,,,,,,40.13333333333333
2016-12-09 22:15:00,,,45.6,77.46666666666667,,,45.733333333333334,,,,,,41.0
2016-12-09 22:30:00,,,44.333333333333336,78.33333333333333,,,48.0,,,31.285714285714285,31.285714285714285,,39.53333333333333
2016-12-09 22:45:00,,,43.2,80.93333333333334,,,45.13333333333333,,,35.2,35.2,,39.46666666666667
2016-12-09 23:00:00,,,55.8,76.66666666666667,36.0,,47.0,,,41.8,41.8,,38.8
2016-12-09 23:15:00,,,50.13333333333333,79.46666666666667,38.266666666666666,,45.666666666666664,,,43.13333333333333,43.13333333333333,,35.666666666666664
2016-12-09 23:30:00,,,52.4,110.6,32.4,,42.0,,,45.53333333333333,45.53333333333333,,37.333333333333336
2016-12-09 23:45:00,,,44.13333333333333,78.06666666666666,31.933333333333334,,41.8,,,47.6,47.6,,34.86666666666667
2016-12-10 00:00:00,,,44.13333333333333,76.86666666666666,28.533333333333335,,42.4,,,50.06666666666667,50.06666666666667,,35.53333333333333
2016-12-10 00:15:00,,,43.53333333333333,74.0,30.666666666666668,,42.2,,,48.6,48.6,,36.266666666666666
2016-12-10 00:30:00,,,44.6,72.66666666666667,29.533333333333335,,41.93333333333333,,,47.53333333333333,47.53333333333333,,35.0
2016-12-10 00:45:00,,,42.266666666666666,74.93333333333334,28.533333333333335,,41.4,,,46.0,46.0,,35.333333333333336
2016-12-10 01:00:00,,,51.266666666666666,70.86666666666666,29.266666666666666,,38.4,,,44.93333333333333,44.93333333333333,,33.266666666666666
2016-12-10 01:15:00,,,44.06666666666667,69.0,29.866666666666667,,38.06666666666667,,,47.0,47.0,,35.6
2016-12-10 01:30:00,,,40.53333333333333,74.73333333333333,31.333333333333332,,39.2,,,44.8,44.8,,35.666666666666664
2016-12-10 01:45:00,,,38.0,72.06666666666666,32.6,,41.333333333333336,,,45.4,45.4,,34.8
2016-12-10 02:00:00,,,38.06666666666667,69.53333333333333,32.733333333333334,,41.4,,,45.8,45.8,,33.13333333333333
2016-12-10 02:15:00,,,39.0,70.33333333333333,33.06666666666667,,42.266666666666666,,,43.86666666666667,43.86666666666667,,37.13333333333333
2016-12-10 02:30:00,,,36.266666666666666,72.6,33.733333333333334,,42.13333333333333,,,43.4,43.4,,37.53333333333333
2016-12-10 02:45:00,,,35.8,72.8,33.53333333333333,,44.8,,,42.46666666666667,42.46666666666667,,37.2
2016-12-10 03:00:00,,,36.53333333333333,71.93333333333334,32.666666666666664,,42.13333333333333,,,41.4,41.4,,35.4
2016-12-10 03:15:00,,,37.8,73.4,33.4,,39.86666666666667,,,44.46666666666667,44.46666666666667,,37.93333333333333
