Date/Time,1519_O_WHLL,5676_O_ELIB,7752_O_ELIZ,2251_O_MILL,2794_O_LWCV
2016-02-06 22:45:00,55.86666666666667,,70.13333333333334,,157.2
2016-02-06 23:00:00,64.2,,79.73333333333333,,149.2
2016-02-06 23:15:00,64.2,,77.66666666666667,,145.13333333333333
2016-02-06 23:30:00,64.13333333333334,,96.86666666666666,,127.26666666666667
2016-02-06 23:45:00,61.86666666666667,,100.8,,138.13333333333333
2016-02-07 00:00:00,64.4,,89.06666666666666,,141.33333333333334
2016-02-07 00:15:00,64.06666666666666,,93.0,,148.86666666666667
2016-02-07 00:30:00,62.13333333333333,,100.33333333333333,,151.26666666666668
2016-02-07 00:45:00,70.6,,99.4,,164.13333333333333
2016-02-07 01:00:00,67.86666666666666,,110.06666666666666,,146.46666666666667
2016-02-07 01:15:00,79.73333333333333,,110.0,,148.8
2016-02-07 01:30:00,82.2,,99.93333333333334,,151.66666666666666
2016-02-07 01:45:00,62.13333333333333,,112.33333333333333,,141.2
2016-02-07 02:00:00,64.13333333333334,,128.4,,134.53333333333333
2016-02-07 02:15:00,67.73333333333333,,125.8,,126.66666666666667
2016-02-07 02:30:00,65.46666666666667,,151.46666666666667,,128.26666666666668
2016-02-07 02:45:00,65.66666666666667,,136.66666666666666,,127.46666666666667
2016-02-07 03:00:00,64.4,,146.26666666666668,,133.93333333333334
2016-02-07 03:15:00,66.66666666666667,,136.46666666666667,,148.26666666666668
2016-02-07 03:30:00,70.0,,137.73333333333332,,133.86666666666667
2016-02-07 03:45:00,68.26666666666667,,163.13333333333333,,138.0
2016-02-07 04:00:00,65.73333333333333,,128.6,,131.73333333333332
2016-02-07 04:15:00,60.13333333333333,,125.0,,143.6
2016-02-07 04:30:00,57.8,,129.46666666666667,,142.6
2016-02-07 04:45:00,59.13333333333333,,129.73333333333332,,153.13333333333333
2016-02-07 05:00:00,57.8,,125.13333333333334,,153.4
2016-02-07 05:15:00,57.53333333333333,,125.86666666666666,,158.53333333333333
2016-02-07 05:30:00,54.333333333333336,,139.46666666666667,,166.06666666666666
2016-02-07 05:45:00,53.733333333333334,,165.33333333333334,,156.93333333333334
2016-02-07 06:00:00,56.0,,163.33333333333334,,158.4
2016-02-07 06:15:00,57.86666666666667,,156.93333333333334,,152.73333333333332
2016-02-07 06:30:00,58.86666666666667,,137.66666666666666,,156.33333333333334
2016-02-07 06:45:00,65.06666666666666,,137.4,,151.46666666666667
2016-02-07 07:00:00,84.86666666666666,,130.73333333333332,,164.4
2016-02-07 07:15:00,97.13333333333334,,111.66666666666667,,167.33333333333334
2016-02-07 07:30:00,117.93333333333334,,140.2,,181.2
2016-02-07 07:45:00,250.53333333333333,,152.86666666666667,,185.73333333333332
2016-02-07 08:00:00,111.53333333333333,,121.66666666666667,,208.66666666666666
2016-02-07 08:15:00,71.4,,143.6,,228.06666666666666
2016-02-07 08:30:00,53.666666666666664,,161.93333333333334,,216.13333333333333
2016-02-07 08:45:00,48.46666666666667,,184.26666666666668,,209.06666666666666
2016-02-07 09:00:00,51.86666666666667,,343.46666666666664,,202.06666666666666
2016-02-07 09:15:00,40.0,,259.1333333333333,,215.86666666666667
2016-02-07 09:30:00,31.8,,176.46666666666667,,181.8
2016-02-07 09:45:00,28.866666666666667,,161.26666666666668,,174.93333333333334
2016-02-07 10:00:00,32.46666666666667,,143.93333333333334,,146.0
2016-02-07 10:15:00,29.4,,122.86666666666666,,129.53333333333333
2016-02-07 10:30:00,27.866666666666667,,102.66666666666667,,123.13333333333334
2016-02-07 10:45:00,27.266666666666666,,73.26666666666667,,149.4
2016-02-07 11:00:00,28.933333333333334,,58.266666666666666,,160.6
2016-02-07 11:15:00,27.333333333333332,,55.86666666666667,,53.13333333333333
2016-02-07 11:30:00,31.6,,55.333333333333336,,47.06666666666667
2016-02-07 11:45:00,35.8,,48.6,48.583333333333336,45.333333333333336
2016-02-07 12:00:00,37.0,,53.266666666666666,33.333333333333336,45.8
2016-02-07 12:15:00,34.2,,43.4,37.4,42.8
2016-02-07 12:30:00,32.46666666666667,,45.46666666666667,33.266666666666666,47.13333333333333
2016-02-07 12:45:00,35.333333333333336,,36.86666666666667,32.53333333333333,50.6
2016-02-07 13:00:00,35.666666666666664,,34.2,35.93333333333333,41.733333333333334
2016-02-07 13:15:00,34.13333333333333,,31.866666666666667,46.86666666666667,44.86666666666667
2016-02-07 13:30:00,35.6,,33.2,37.2,46.266666666666666
2016-02-07 13:45:00,36.666666666666664,,33.53333333333333,38.86666666666667,47.6
2016-02-07 14:00:00,35.0,,34.6,41.2,48.13333333333333
2016-02-07 14:15:00,37.4,,36.86666666666667,51.06666666666667,45.0
2016-02-07 14:30:00,37.333333333333336,,33.8,39.53333333333333,45.13333333333333
2016-02-07 14:45:00,37.13333333333333,,36.666666666666664,33.733333333333334,44.46666666666667
2016-02-07 15:00:00,37.0,,37.666666666666664,33.53333333333333,46.266666666666666
2016-02-07 15:15:00,38.0,,36.4,37.733333333333334,43.86666666666667
2016-02-07 15:30:00,37.6,,34.46666666666667,34.06666666666667,44.46666666666667
2016-02-07 15:45:00,36.2,,36.4,35.6,42.8
2016-02-07 16:00:00,35.53333333333333,,38.2,33.2,38.666666666666664
2016-02-07 16:15:00,35.733333333333334,,41.0,32.8,42.46666666666667
2016-02-07 16:30:00,37.666666666666664,,40.06666666666667,156.46666666666667,44.666666666666664
2016-02-07 16:45:00,37.2,,38.666666666666664,31.266666666666666,43.53333333333333
2016-02-07 17:00:00,40.733333333333334,,37.8,34.6,49.4
2016-02-07 17:15:00,41.93333333333333,,39.53333333333333,31.2,47.8
2016-02-07 17:30:00,40.8,,39.733333333333334,32.2,52.06666666666667
2016-02-07 17:45:00,42.0,,39.8,31.733333333333334,54.86666666666667
2016-02-07 18:00:00,47.13333333333333,,41.333333333333336,37.333333333333336,70.53333333333333
2016-02-07 18:15:00,47.0,,54.86666666666667,35.13333333333333,67.4
2016-02-07 18:30:00,53.13333333333333,,60.733333333333334,40.4,105.0
2016-02-07 18:45:00,56.06666666666667,,47.266666666666666,53.46666666666667,61.53333333333333
