Date/Time,8749_O_CRFT,4431_O_WBG,5571_O_BUFF,5624_O_BUFF,1282_O_BCVW,2071_O_NOSD,1502_O_BLPK,4632_O_BNAR,8941_O_MTLE,4880_O_ELIB,2281_O_HiPK,5679_O_BLOO,6227_O_ELIB,4669_O_ELIB,7543_O_MILL,4492_O_MOON
2017-03-19 15:00:00,130.78571428571428,37.785714285714285,70.0,70.0,,38.92857142857143,54.42857142857143,,,,,29.785714285714285,,,,
2017-03-19 15:15:00,123.53333333333333,35.266666666666666,93.4,93.4,,34.53333333333333,57.6,,,,,31.533333333333335,,,,
2017-03-19 15:30:00,110.53333333333333,45.6,85.4,85.4,,32.86666666666667,54.6,,,,,25.333333333333332,,,,
2017-03-19 15:45:00,108.53333333333333,31.8,90.6,90.6,,36.266666666666666,54.0,,,,,28.066666666666666,,,,
2017-03-19 16:00:00,119.6,37.733333333333334,94.26666666666667,94.26666666666667,,37.13333333333333,52.6,,,,,28.0,,,,
2017-03-19 16:15:00,131.26666666666668,33.666666666666664,92.93333333333334,92.93333333333334,,41.4,55.13333333333333,,,,,30.2,,,,
2017-03-19 16:30:00,124.46666666666667,63.266666666666666,95.8,95.8,,43.06666666666667,49.733333333333334,,,,,34.93333333333333,,,,
2017-03-19 16:45:00,131.0,30.933333333333334,111.6,111.6,,49.6,51.2,,,,,31.733333333333334,,,,
2017-03-19 17:00:00,134.46666666666667,30.066666666666666,102.06666666666666,102.06666666666666,,51.666666666666664,52.06666666666667,,,,,36.06666666666667,,,,
2017-03-19 17:15:00,135.0,42.13333333333333,113.4,113.4,,50.6,47.46666666666667,,,,,41.46666666666667,,,,
2017-03-19 17:30:00,132.13333333333333,34.266666666666666,155.6,155.6,,48.0,54.0,,,,,37.4,,,,
2017-03-19 17:45:00,143.66666666666666,48.93333333333333,114.2,114.2,,54.93333333333333,58.93333333333333,,,,,36.86666666666667,,,,
2017-03-19 18:00:00,153.33333333333334,41.93333333333333,121.6,121.6,,56.53333333333333,63.666666666666664,,,,,41.06666666666667,,,,
2017-03-19 18:15:00,148.6,47.46666666666667,129.13333333333333,129.13333333333333,,59.4,61.6,,,,,45.733333333333334,,,,
2017-03-19 18:30:00,146.33333333333334,50.266666666666666,132.86666666666667,132.86666666666667,,56.53333333333333,67.93333333333334,,,,,42.4,,,,
2017-03-19 18:45:00,148.66666666666666,49.93333333333333,146.26666666666668,146.26666666666668,,60.8,69.0,,,,,41.86666666666667,,,,
2017-03-19 19:00:00,146.26666666666668,47.46666666666667,150.93333333333334,150.93333333333334,,61.8,69.06666666666666,,,,,52.733333333333334,,,,
2017-03-19 19:15:00,143.86666666666667,44.666666666666664,154.93333333333334,154.93333333333334,,66.53333333333333,74.2,,,,,61.53333333333333,,,,
2017-03-19 19:30:00,151.2,50.6,152.26666666666668,152.26666666666668,,63.13333333333333,78.8,,,,,52.93333333333333,,,,
2017-03-19 19:45:00,162.2,48.13333333333333,172.93333333333334,172.93333333333334,,61.6,69.86666666666666,,,,,50.93333333333333,,,,
2017-03-19 20:00:00,170.06666666666666,53.86666666666667,176.26666666666668,176.26666666666668,,64.66666666666667,69.33333333333333,,,,,59.53333333333333,,,,
2017-03-19 20:15:00,174.06666666666666,100.0,189.53333333333333,189.53333333333333,,68.73333333333333,65.4,,,,,55.333333333333336,,,,
2017-03-19 20:30:00,166.26666666666668,95.46666666666667,206.26666666666668,206.26666666666668,,77.26666666666667,66.93333333333334,,,,,54.733333333333334,,,,
2017-03-19 20:45:00,171.26666666666668,73.86666666666666,229.73333333333332,229.73333333333332,,76.6,74.6,,,,,56.93333333333333,,,,
2017-03-19 21:00:00,162.73333333333332,111.0,224.26666666666668,224.26666666666668,,73.26666666666667,77.13333333333334,,,,,54.2,,,,
2017-03-19 21:15:00,167.66666666666666,73.2,247.93333333333334,247.93333333333334,,75.33333333333333,76.2,,,,,56.13333333333333,,,,
2017-03-19 21:30:00,169.26666666666668,77.53333333333333,270.3333333333333,270.3333333333333,,64.73333333333333,80.26666666666667,,,,,49.46666666666667,,,,
2017-03-19 21:45:00,165.8,71.6,278.2,278.2,,63.8,83.0,,,,,52.06666666666667,,,,
2017-03-19 22:00:00,154.0,68.13333333333334,301.6666666666667,301.6666666666667,,66.2,86.6,,,,,51.6,,,,
2017-03-19 22:15:00,155.6,66.93333333333334,292.93333333333334,292.93333333333334,,63.53333333333333,89.53333333333333,,,,,51.93333333333333,,,,
2017-03-19 22:30:00,160.73333333333332,60.0,304.26666666666665,304.26666666666665,,62.86666666666667,89.2,,,,,50.93333333333333,,,,
2017-03-19 22:45:00,152.73333333333332,62.46666666666667,302.06666666666666,302.06666666666666,,64.66666666666667,88.33333333333333,,,,,48.53333333333333,,,,
2017-03-19 23:00:00,158.46666666666667,72.06666666666666,311.4,311.4,,66.46666666666667,92.8,,,,,50.8,,,,
2017-03-19 23:15:00,166.93333333333334,77.93333333333334,324.8,324.8,,69.46666666666667,91.46666666666667,,,,,49.2,,,,
2017-03-19 23:30:00,172.66666666666666,80.26666666666667,307.6666666666667,307.6666666666667,,65.4,94.66666666666667,,,,,48.733333333333334,,,,
2017-03-19 23:45:00,176.6,161.4,288.73333333333335,288.73333333333335,,66.26666666666667,98.06666666666666,,,,,48.86666666666667,,,,
2017-03-20 00:00:00,199.93333333333334,97.73333333333333,275.73333333333335,275.73333333333335,,69.86666666666666,101.66666666666667,,,,,51.266666666666666,,,,
2017-03-20 00:15:00,207.46666666666667,88.4,304.8,304.8,,68.86666666666666,101.4,,,,,49.666666666666664,,,,
