Date/Time,3003_O_YORK,5362_O_NOEA,3380_O_STCG,1100_O_WYBG,6448_O_SEWY,2294_O_GARF,6546_O_MILL,4165_O_ROSS,6680_O_DQTN,2875_O_DUQH,1793_O_SEWY,5180_O_BAVN,6218_O_N0SD,7242_O_SPHL,4885_O_MTLE,5726_O_HZWD,7946_O_MONG,3375_O_GRFD
2024-04-19 14:30:00,,,,,124.66666666666667,,,,,,,,,235.66666666666666,,,150.93333333333334,
2024-04-19 14:45:00,,,,,143.8,,,,,,,,,249.73333333333332,,,252.46666666666667,
2024-04-19 15:00:00,,,,,181.33333333333334,,,,,,,,,204.06666666666666,,,176.53333333333333,
2024-04-19 15:15:00,,,,,212.93333333333334,,,,,,,,,204.4,,,294.8666666666667,
2024-04-19 15:30:00,,,,,242.0,,,,,,,,,209.8,,,333.0,
2024-04-19 15:45:00,,,,,256.3333333333333,,,,,,,,,250.6,,,284.8,
2024-04-19 16:00:00,,,,,270.6666666666667,,,,,,,,,269.2,,,305.93333333333334,
2024-04-19 16:15:00,,,,,272.6,,,,,,,,,269.46666666666664,,,271.2,
2024-04-19 16:30:00,,,,,303.3333333333333,,,,,,,,,260.2,,,261.06666666666666,
2024-04-19 16:45:00,,,,,238.13333333333333,,,,,,,,,233.33333333333334,,,221.0,
2024-04-19 17:00:00,,,,,232.6,,,,,,,,,200.46666666666667,,,191.93333333333334,
2024-04-19 17:15:00,,,,,232.93333333333334,,,,,,,,,174.26666666666668,,,186.86666666666667,
2024-04-19 17:30:00,,,,,273.46666666666664,,,,,,,,,163.13333333333333,,,182.33333333333334,
2024-04-19 17:45:00,,,,,302.06666666666666,,,,,,,,,138.4,,,178.33333333333334,
2024-04-19 18:00:00,,,,,318.3333333333333,,,,,,,,,166.0,,,172.4,
2024-04-19 18:15:00,,,,,327.53333333333336,,,,,,,,,177.46666666666667,,,157.8,
2024-04-19 18:30:00,,,,,282.2,,,,,,,,,215.73333333333332,,,155.86666666666667,
2024-04-19 18:45:00,,,,,260.46666666666664,,,,,,,,,225.26666666666668,,,171.06666666666666,
2024-04-19 19:00:00,,,,,256.26666666666665,,,,,,,,,295.1333333333333,,,195.13333333333333,
2024-04-19 19:15:00,,,,,261.26666666666665,,,,,,,,,288.6666666666667,,,265.26666666666665,
2024-04-19 19:30:00,,,,,256.1333333333333,,,,,,,,,254.53333333333333,,,408.46666666666664,
2024-04-19 19:45:00,,,,,280.06666666666666,,,,,,,,,262.93333333333334,,,470.46666666666664,
2024-04-19 20:00:00,,,,,334.6666666666667,,,,,,,,,272.3333333333333,,,377.3333333333333,
2024-04-19 20:15:00,,,,,341.8666666666667,,,,,,,,,264.8,,,274.6,
2024-04-19 20:30:00,,,,,357.46666666666664,,,,,,,,,279.4,,,265.6,
2024-04-19 20:45:00,,,,,382.8666666666667,,,,,,,,,306.53333333333336,,,270.53333333333336,
2024-04-19 21:00:00,,,,,394.2,,,,,,,,,296.0,,,270.4,
2024-04-19 21:15:00,,,,,400.3333333333333,,,,,,,,,283.3333333333333,,,252.8,
2024-04-19 21:30:00,,,,,398.46666666666664,,,,,,,,,288.53333333333336,,,264.8,
2024-04-19 21:45:00,,,,,413.73333333333335,,,,,,,,,279.8666666666667,,,300.6,
2024-04-19 22:00:00,,,,,455.6,,,,,,,,,265.73333333333335,,,312.06666666666666,
2024-04-19 22:15:00,,,,,449.4,,,,,,,,,248.13333333333333,,,347.2,
2024-04-19 22:30:00,,,,,446.8,,,,,,,,,251.53333333333333,,,317.53333333333336,
2024-04-19 22:45:00,,,,,465.6,,,,,,,,,275.93333333333334,,,369.1333333333333,
2024-04-19 23:00:00,,,,,461.1333333333333,,,,,,,,,312.8666666666667,,,386.4,
2024-04-19 23:15:00,,,,,452.0,,,,,,,,,367.8,,,465.8,
2024-04-19 23:30:00,,,,,448.3333333333333,,,,,,,,,378.73333333333335,,,455.2,
2024-04-19 23:45:00,,,,,428.06666666666666,,,,,,,,,376.0,,,378.73333333333335,
2024-04-20 00:00:00,,,,,431.8,,,,,,,,,380.06666666666666,,,394.2,
2024-04-20 00:15:00,,,,,421.1333333333333,,,,,,,,,372.3333333333333,,,453.3333333333333,
2024-04-20 00:30:00,,,,,429.73333333333335,,,,,,,,,357.8666666666667,,,472.06666666666666,
2024-04-20 00:45:00,,,,,430.8666666666667,,,,,,,,,358.06666666666666,,,302.8,
2024-04-20 01:00:00,,,,,461.26666666666665,,,,,,,,,353.4,,,308.6666666666667,
2024-04-20 01:15:00,,,,,452.73333333333335,,,,,,,,,364.1333333333333,,,304.6666666666667,
2024-04-20 01:30:00,,,,,459.46666666666664,,,,,,,,,362.4,,,354.73333333333335,
2024-04-20 01:45:00,,,,,444.8666666666667,,,,,,,,,352.53333333333336,,,433.6,
2024-04-20 02:00:00,,,,,424.4,,,,,,,,,367.4,,,477.53333333333336,
2024-04-20 02:15:00,,,,,424.53333333333336,,,,,,,,,357.4,,,681.4666666666667,
2024-04-20 02:30:00,,,,,419.8666666666667,,,,,,,,,352.06666666666666,,,445.0,
2024-04-20 02:45:00,,,,,407.73333333333335,,,,,,,,,339.1333333333333,,,333.8,
2024-04-20 03:00:00,,,,,395.26666666666665,,,,,,,,,334.2,,,328.3333333333333,
2024-04-20 03:15:00,,,,,403.6666666666667,,,,,,,,,338.93333333333334,,,326.53333333333336,
2024-04-20 03:30:00,,,,,419.8,,,,,,,,,333.06666666666666,,,332.0,
2024-04-20 03:45:00,,,,,403.93333333333334,,,,,,,,,347.46666666666664,,,321.0,
2024-04-20 04:00:00,,,,,397.6666666666667,,,,,,,,,351.53333333333336,,,323.73333333333335,
2024-04-20 04:15:00,,,,,404.3333333333333,,,,,,,,,352.53333333333336,,,325.46666666666664,
2024-04-20 04:30:00,,,,,401.53333333333336,,,,,,,,,352.4,,,332.26666666666665,
2024-04-20 04:45:00,,,,,408.6666666666667,,,,,,,,,334.2,,,372.93333333333334,
2024-04-20 05:00:00,,,,,420.6,,,,,,,,,331.46666666666664,,,764.8,
2024-04-20 05:15:00,,,,,445.26666666666665,,,,,,,,,340.53333333333336,,,533.4666666666667,
2024-04-20 05:30:00,,,,,447.06666666666666,,,,,,,,,345.46666666666664,,,379.6,
2024-04-20 05:45:00,,,,,465.4,,,,,,,,,343.8,,,393.0,
2024-04-20 06:00:00,,,,,474.6666666666667,,,,,,,,,345.26666666666665,,,377.6666666666667,
2024-04-20 06:15:00,,,,,469.46666666666664,,,,,,,,,368.2,,,530.0,
2024-04-20 06:30:00,,,,,469.3333333333333,,,,,,,,,395.8,,,452.93333333333334,
2024-04-20 06:45:00,,,,,490.06666666666666,,,,,,,,,372.8,,,368.6,
2024-04-20 07:00:00,,,,,490.2,,,,,,,,,359.2,,,380.3333333333333,
2024-04-20 07:15:00,,,,,487.53333333333336,,,,,,,,,378.73333333333335,,,394.46666666666664,
2024-04-20 07:30:00,,,,,474.6666666666667,,,,,,,,,382.8,,,417.0,
2024-04-20 07:45:00,,,,,495.26666666666665,,,,,,,,,378.3333333333333,,,505.93333333333334,
2024-04-20 08:00:00,,,,,488.73333333333335,,,,,,,,,393.1333333333333,,,473.8666666666667,
2024-04-20 08:15:00,,,,,487.73333333333335,,,,,,,,,406.6,,,481.46666666666664,
2024-04-20 08:30:00,,,,,470.0,,,,,,,,,412.06666666666666,,,426.73333333333335,
2024-04-20 08:45:00,,,,,483.0,,,,,,,,,434.93333333333334,,,412.6666666666667,
2024-04-20 09:00:00,,,,,502.2,,,,,,,,,428.6,,,398.6,
2024-04-20 09:15:00,,,,,520.4666666666667,,,,,339.55555555555554,,,,423.4,,,430.73333333333335,
2024-04-20 09:30:00,,,,,441.6,,,,,351.06666666666666,,,,414.2,,,388.26666666666665,
2024-04-20 09:45:00,,,,,380.3333333333333,,,,,349.6666666666667,,,,404.46666666666664,,,394.6666666666667,
2024-04-20 10:00:00,2066.0,,,,390.6666666666667,,,,,346.0,,,,409.2,,,374.93333333333334,
2024-04-20 10:15:00,1762.2,,,,407.6,,,,,337.93333333333334,,,,400.2,,,371.26666666666665,
2024-04-20 10:30:00,903.3333333333334,,,,404.6666666666667,,,,,345.73333333333335,,,,398.73333333333335,,,362.0,433.84615384615387
2024-04-20 10:45:00,637.2666666666667,,,,395.2,,,,,334.6,,,,401.3333333333333,,,367.0,429.4
2024-04-20 11:00:00,591.5333333333333,229.0,,,384.1333333333333,,,,,314.1333333333333,,,,420.53333333333336,,,352.46666666666664,413.26666666666665
2024-04-20 11:15:00,560.3333333333334,458.8,,,349.6,,,,,301.93333333333334,,,,397.1333333333333,,,340.93333333333334,407.6666666666667
2024-04-20 11:30:00,552.2,568.6666666666666,,,325.73333333333335,,,,,297.8,,,,397.0,,,349.46666666666664,424.06666666666666
2024-04-20 11:45:00,613.3333333333334,621.3333333333334,,,309.8,,,,,292.06666666666666,,,,384.0,,,361.0,367.2
2024-04-20 12:00:00,650.2666666666667,606.2,,,320.53333333333336,,,,,273.8666666666667,,,,387.26666666666665,,,331.73333333333335,347.6
2024-04-20 12:15:00,520.1333333333333,413.73333333333335,,,316.53333333333336,,,,,270.46666666666664,,,,384.6666666666667,,,310.8666666666667,347.1333333333333
2024-04-20 12:30:00,448.8,293.53333333333336,,,313.73333333333335,,,,,264.4,,,,366.26666666666665,,,306.53333333333336,321.8666666666667
2024-04-20 12:45:00,355.46666666666664,337.46666666666664,,,331.26666666666665,,,,,274.06666666666666,,,,351.2,,,301.46666666666664,318.26666666666665
2024-04-20 13:00:00,298.8666666666667,324.2,,,313.2,,,,,275.06666666666666,,,,355.8666666666667,,,293.73333333333335,312.0
2024-04-20 13:15:00,397.1333333333333,282.2,,,320.1333333333333,,,,344.0833333333333,249.2,,,,626.1333333333333,,,320.6666666666667,312.4
2024-04-20 13:30:00,343.0,346.53333333333336,,,334.46666666666664,,,,330.26666666666665,239.46666666666667,,,,634.4,,,352.2,300.06666666666666
2024-04-20 13:45:00,309.6666666666667,333.6,,,360.6,,,,337.73333333333335,241.06666666666666,,,,296.73333333333335,,,336.53333333333336,293.46666666666664
2024-04-20 14:00:00,291.46666666666664,321.73333333333335,,,376.2,,,,325.1333333333333,235.6,,,,301.46666666666664,,,357.6,286.06666666666666
